Geneid,0h-T5-1,0h-T5-2,0h-T5-3,0h-T5-4,2h-T5-1,2h-T5-2,2h-T5-3,2h-T5-4,C-L3-T5-1,C-L3-T5-2,C-L3-T5-3,C-L3-T5-4
Myo81F,0,6,10,1,9,3,0,0,0,18,0,0
CR41571,0,0,0,0,0,0,0,0,0,0,0,0
CR12798,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR46123,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR46122,0,0,0,0,0,0,0,0,0,0,0,0
CR40182,0,0,0,0,0,0,0,0,0,0,0,0
Pzl,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45220,0,0,0,0,0,0,0,0,0,0,0,0
spok,0,0,0,0,0,0,0,0,0,0,0,0
Parp,984,686,3136,644,1476,774,901,1030,882,785,847,475
Alg-2,1053,1536,5386,842,2226,1246,1808,3889,2392,1677,2202,1691
lncRNA:CR46141,0,0,0,0,0,0,0,0,0,0,0,3
Tim17b,4507,4526,17099,3030,7348,4527,6960,7785,7288,4933,7649,3879
CG41128,1142,1598,7094,811,1813,1085,2984,2933,1766,1055,1306,1265
CG41099,345,681,737,487,776,369,540,471,1375,462,874,1303
CG42402,0,0,0,0,20,0,0,0,0,0,0,0
Gfat1,2783,2734,5956,1906,8752,4271,3257,3575,4780,3556,7011,2290
lncRNA:CR41601,0,0,0,0,0,0,0,0,0,0,0,0
CG40198,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR46431,0,0,0,0,0,0,0,0,0,0,0,0
CG12581,195,525,21,163,193,196,164,383,744,500,735,373
CR33294,0,0,0,0,0,0,0,0,22,0,54,10
Dsk,0,0,0,0,0,0,0,0,0,0,0,0
beta-Man,97,922,961,344,662,535,596,837,1156,654,743,1479
CG14636,0,17,174,16,117,20,0,0,10,88,0,16
aux,141,242,465,443,612,458,181,416,345,200,331,586
CG31516,0,0,0,0,0,9,0,0,0,0,0,0
DhpD,58,247,96,115,368,198,126,379,118,239,611,454
CG14641,691,990,2941,674,1085,1285,1051,1453,1239,1162,1113,419
abs,259,453,637,245,618,483,530,731,523,295,682,439
Gel,276,324,154,4,884,57,46,55,729,18,338,7429
asRNA:CR46255,0,6,6,2,9,2,0,0,7,1,4,0
CG14642,0,27,0,0,20,15,19,92,58,0,4,41
CG34305,0,6,0,0,0,5,0,0,21,7,3,6
TwdlU,0,0,0,0,0,6,0,0,0,0,0,0
TwdlF,0,0,0,0,0,0,0,0,0,0,0,0
TwdlG,0,0,0,0,0,0,0,0,0,0,0,0
CG14644,0,0,0,0,0,0,0,0,0,0,0,0
TwdlV,0,0,0,0,0,0,0,0,0,0,0,0
Or82a,0,0,0,0,0,0,0,0,0,0,0,0
CG1092,0,86,1,1,61,33,0,62,0,0,42,9
CG9766,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45597,0,0,0,0,0,0,0,0,0,0,0,0
cpx,0,0,0,0,0,0,0,0,15,158,0,19
Nepl11,0,0,0,0,0,0,0,0,0,0,0,0
mir-929,0,0,0,0,0,0,0,0,0,0,0,0
Vps24,89,59,40,21,74,41,44,40,43,66,41,42
MP1,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR46140,0,0,1,0,0,0,0,0,0,0,0,0
Suv3,374,340,158,164,627,353,143,663,541,535,631,256
Syt14,0,0,0,0,0,0,0,0,0,0,0,0
CG9795,102,420,1368,129,154,228,218,201,437,123,412,253
CG9776,262,257,665,52,543,257,297,109,399,203,654,274
Skp2,675,316,971,158,354,451,201,361,415,551,387,366
CG14645,0,0,0,0,0,0,0,0,0,0,0,0
CG1103,736,528,299,183,1489,742,658,782,410,567,194,270
hkb,0,0,0,0,0,0,0,0,0,0,0,0
CG1090,0,0,0,0,0,0,1,0,0,0,0,0
lncRNA:CR44922,0,0,0,0,0,0,0,0,0,0,0,0
Sfxn1-3,145,464,1381,227,1484,555,1410,867,683,746,834,1325
Cont,733,1866,3081,1170,1356,830,695,1176,2535,815,815,997
tub,369,676,2133,306,1177,700,1011,789,1212,603,912,1034
CG14646,634,536,457,490,1477,588,603,484,709,393,731,734
CG34112,57,20,108,20,47,24,32,74,73,72,58,44
asRNA:CR46139,0,17,19,0,3,2,3,12,0,0,16,5
asRNA:CR45999,15,35,6,11,4,4,18,134,0,0,12,0
CG9855,12,21,84,21,46,29,27,22,45,65,63,17
CG9853,429,755,366,329,638,761,905,556,678,779,850,484
CG14647,623,585,1098,333,985,439,973,796,1258,638,960,1028
lncRNA:CR45187,0,0,52,0,9,0,0,1,15,0,0,22
lost,6419,9466,23318,5250,17550,8519,6955,9883,22744,15694,18369,17909
CG32944,0,0,0,0,0,0,0,0,0,0,0,0
CG31528,0,0,0,0,0,0,0,0,0,0,0,0
srl,50,200,60,91,119,46,167,15,939,552,250,131
CG31525,0,0,0,0,0,0,0,0,28,0,0,17
eIF3a,655,685,1084,330,843,532,175,433,2066,1927,2011,708
CG1074,14,22,24,16,26,23,29,6,73,16,37,32
asRNA:CR46138,0,0,0,0,0,0,0,0,0,0,0,1
CG9804,1,7,7,2,5,3,5,4,11,6,5,0
asRNA:CR44134,0,0,0,0,0,0,0,0,0,0,0,0
CG14650,147,204,232,166,288,166,163,256,211,480,81,186
CG31522,171,350,178,112,295,268,98,504,400,888,55,406
asRNA:CR43629,16,21,62,17,20,7,1,0,30,3,38,137
CG31523,2055,2679,3053,1568,6067,3447,3249,3358,4004,2984,4409,2154
CG14651,0,0,0,0,0,0,0,0,0,0,0,0
Fip1,96,403,76,129,611,308,274,361,474,886,554,386
CG34357,3,25,0,0,35,29,9,47,0,0,0,0
CG34425,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR31526,0,0,0,0,0,0,0,0,0,0,0,0
Mur82C,0,0,0,0,0,0,0,0,0,0,0,0
CG32945,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45558,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44317,0,0,0,0,0,0,0,0,0,0,0,0
5-HT2A,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45673,0,0,0,0,0,0,0,0,0,0,0,0
CG9775,263,211,779,226,567,483,525,228,813,921,555,377
sisRNA:CR46358,0,0,0,0,0,0,0,0,0,0,0,0
MED31,299,284,1025,123,483,333,529,475,429,332,547,541
slx1,0,32,345,1,72,26,140,81,183,47,47,136
Dlip2,151,193,842,78,287,243,387,265,369,341,421,74
rpk,0,0,0,0,0,0,0,22,0,0,92,0
asRNA:CR44155,0,0,0,0,0,0,0,0,0,0,0,0
Karybeta3,460,1223,993,391,542,683,690,510,1736,1274,2472,1898
spartin,0,32,15,6,0,11,28,138,284,47,0,0
smash,162,287,840,64,685,257,285,240,56,0,155,112
lncRNA:CR44156,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44157,0,0,0,0,0,0,0,0,0,0,0,0
CG33927,0,0,0,0,2,0,0,4,0,0,0,0
eIF3f1,1116,1846,5295,994,2768,2200,1967,2549,2885,2203,4412,1708
lncRNA:CR44923,2,65,73,14,110,28,15,28,0,0,0,0
Nep2,4490,11752,3475,2446,14261,12102,6050,17782,346,0,0,4
tacc,757,1129,1114,537,1190,647,909,1678,483,498,716,906
asRNA:CR46137,0,0,0,5,5,0,3,7,0,0,0,0
mir-9384,0,0,0,0,0,0,0,0,0,0,0,6
atms,506,366,1022,297,788,388,364,510,1250,379,669,596
CG44098,220,352,163,131,512,581,144,143,91,152,170,0
CG44088,0,0,0,0,0,0,0,0,0,0,0,0
CG14655,7,6,9,3,0,0,10,11,1,0,2,0
CG17387,0,0,0,0,0,0,0,0,0,0,0,0
ctrip,317,330,502,150,440,177,274,149,319,406,355,300
Hus1-like,285,222,1150,134,308,220,195,553,83,283,298,77
CG1129,346,509,653,272,967,356,730,695,560,492,511,352
BBS5,0,0,0,0,0,0,0,0,0,0,0,0
CG14657,483,420,1155,253,721,367,242,303,429,812,539,786
CG14658,0,0,0,0,0,0,0,0,0,0,0,0
CG14659,0,0,0,0,0,0,0,0,0,0,0,0
opa,0,0,0,0,0,2,0,0,0,0,0,0
laf,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45580,0,0,0,0,0,0,0,0,0,0,0,0
Gnf1,132,97,66,50,60,46,40,51,343,75,202,567
Cdep,262,558,1029,288,593,187,249,265,1214,781,856,1171
lncRNA:CR45188,0,0,0,0,8,0,0,0,0,0,0,0
snRNA:U1:82Eb,0,0,0,0,0,0,0,0,0,0,2,0
Ubc6,1067,2231,4228,1105,3169,2609,1864,2379,1447,1239,1928,665
CG14661,0,0,0,0,0,3,0,0,0,0,0,0
CG2016,24171,23287,41999,12172,27376,18524,18140,17610,1442,1840,2734,2667
CG1124,48,34,0,56,50,44,0,0,113,65,0,42
CG14662,0,0,0,8,0,0,0,0,0,0,0,0
asRNA:CR43478,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43424,0,0,0,14,0,0,0,0,0,0,0,0
plh,0,0,0,0,0,0,0,0,3,0,0,0
lncRNA:CR45585,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR46352,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43635,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45588,0,0,0,0,0,0,0,0,0,0,0,0
corto,164,129,540,71,629,127,149,82,282,135,74,89
CG43131,0,0,0,0,0,0,0,0,0,8,0,0
CG12007,452,511,1677,148,1044,425,604,599,165,393,544,190
CG12589,0,0,0,0,0,0,0,0,0,0,0,0
dpr16,0,0,0,0,0,0,0,0,0,0,0,0
CG12590,0,0,0,0,0,0,0,0,0,0,0,0
CR46401,0,0,0,0,0,0,0,0,0,0,0,0
cno,31,138,838,61,753,303,275,140,158,240,160,110
snRNA:U4atac,0,0,0,0,0,0,0,0,0,0,0,0
Prosbeta2R2,0,0,0,0,0,3,0,0,0,0,0,0
CG1116,362,332,840,315,424,347,522,450,371,453,229,419
Sccpdh1,689,863,2525,522,1586,995,894,912,2420,2594,2126,2242
CG14664,135,496,0,0,241,284,347,538,0,0,0,0
Vps37B,611,847,1483,402,1348,530,623,1416,1111,930,1457,1011
Kat60,32,179,37,93,156,206,203,325,507,167,163,348
Mms19,25,35,480,48,32,73,0,103,218,152,154,0
rtp,0,0,0,0,0,0,0,0,0,0,0,0
CG12163,2636,2431,3938,994,5015,3027,2609,3943,2783,2661,2097,1538
CG33293,0,0,0,0,3,0,0,0,0,0,0,0
asRNA:CR44019,0,1,3,3,2,3,0,0,0,0,1,0
CG1113,0,0,0,0,0,0,0,0,0,0,0,0
CG12173,203,230,975,194,420,362,586,560,645,533,717,240
Hph,8,73,642,69,202,173,143,137,139,6,263,94
Tim17a2,0,0,0,0,0,0,0,0,7,0,0,21
lncRNA:CR45793,0,0,0,0,0,6,0,0,0,0,0,0
CR45033,0,0,0,0,0,0,0,0,0,0,0,0
mtd,351,732,1276,482,1583,831,606,1035,1602,563,1469,1046
CG31538,0,0,0,0,0,0,0,0,0,100,0,0
Tim17b1,0,2,0,0,9,0,0,2,0,0,0,0
CG11999,1831,989,6126,810,3420,2151,2936,2583,1092,833,1357,966
CG1161,1746,1490,3862,877,2988,1785,2395,2627,2104,1478,2262,2107
Prosbeta7,1641,2873,6739,1669,3992,2701,2325,3873,2412,1896,2727,1919
Cerk,75,146,133,0,32,73,35,0,49,361,0,68
lncRNA:CR44103,0,0,0,0,15,1,0,0,0,0,0,0
CG31542,0,0,0,0,0,0,0,0,0,0,0,0
CG34277,0,0,0,0,0,0,0,0,0,0,0,0
RpII18,1859,2726,10902,1710,3561,1307,3495,4994,5919,3834,5684,4863
hd,0,0,3,16,0,0,0,0,174,161,74,103
CG14667,0,93,0,17,139,40,34,51,100,120,35,142
7B2,0,0,0,0,0,17,0,0,163,0,0,0
kkv,339,506,1533,453,1020,628,522,441,327,184,386,146
CG14668,0,0,0,0,0,0,0,0,0,0,0,8
tRNA:Arg-TCG-4-1,0,0,0,0,0,0,0,0,0,0,0,4
CG1172,177,461,346,140,651,494,522,651,217,668,651,174
Or83a,0,0,0,0,0,0,0,0,0,0,0,0
CG2663,2703,2011,2879,1185,3212,2805,991,2263,1524,1133,2078,1764
Orco,0,0,0,0,0,0,0,0,0,0,0,0
CG14669,0,0,0,0,0,0,0,0,0,0,0,0
CG12147,0,0,0,0,0,0,0,0,0,0,0,0
PEK,0,45,330,73,46,62,46,139,669,268,319,279
RpL35A,1409,1216,5423,813,2210,1428,1832,2239,3416,2828,3869,2467
POLDIP2,344,487,1025,291,363,808,646,755,741,594,1063,442
mRpL44,211,253,762,207,342,228,172,185,397,515,647,375
Snr1,585,628,896,266,830,591,915,845,933,389,929,1015
CG45100,0,0,0,0,0,0,0,0,0,0,0,0
HDAC3,0,0,0,0,0,0,0,0,0,0,0,0
Hcs,0,36,261,47,23,81,40,57,120,0,131,0
ksr,31,0,58,8,28,59,37,4,135,23,15,265
CG31550,190,284,87,35,152,208,221,201,356,272,524,158
NKCC,0,0,0,0,0,5,45,0,0,0,16,12
Nmdar1,0,0,0,8,0,0,0,0,0,0,0,8
Itp-r83A,18,38,415,34,181,46,73,1,115,52,139,5
CG43845,0,0,0,0,0,0,0,0,0,0,0,0
CG2519,139,443,712,156,750,165,112,316,617,606,822,681
mia,0,14,174,0,82,16,0,0,293,0,91,62
Pcmt,450,702,2031,372,1200,708,964,787,1231,814,1158,1309
Snm1,0,96,0,28,0,23,103,1,187,223,173,1
Pi4KIIalpha,206,258,436,95,241,219,260,389,309,151,69,198
snoRNA:Pi4KIIalpha-a,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR46136,0,0,0,0,0,3,0,0,0,0,0,0
CG14671,454,320,1203,201,752,335,705,490,340,284,537,186
CG12746,95,474,200,157,226,250,467,445,278,355,307,141
CG2931,64,134,538,137,275,226,224,223,357,190,261,136
Rheb,983,980,4165,853,1976,1237,1640,1958,1303,1375,1646,689
CRMP,91,353,477,254,734,409,561,395,124,38,0,106
CG2926,155,447,456,339,518,216,144,261,750,518,512,960
scaRNA:MeU4:25F-C137,0,0,0,0,0,0,0,0,0,0,0,0
Rev7,9,55,37,8,35,25,33,0,20,90,48,30
noi,90,323,1099,228,414,497,204,298,699,817,910,566
Vha26,1503,2804,9943,1513,6661,3758,3200,3451,4732,3009,3709,3843
kra,12899,12591,32811,7395,19397,12937,12961,14195,13907,9829,13296,8558
snoRNA:Psi28S-3385b,0,3,22,0,0,3,17,5,6,0,1,0
snoRNA:Psi28S-3385a,0,1,8,0,0,1,4,1,5,5,0,0
snoRNA:Psi28S-3091b,0,0,12,0,0,4,19,0,2,13,5,1
snoRNA:Psi28S-3091a,0,0,8,0,0,1,9,3,1,0,2,0
snoRNA:Psi28S-3571,0,0,0,0,2,3,0,1,0,3,4,5
snoRNA:Psi28S-3186,0,0,0,1,6,1,5,11,7,2,6,7
snoRNA:Psi28S-2442b,0,0,0,0,0,2,6,17,0,0,16,20
snoRNA:Psi28S-2442a,0,0,0,3,0,6,12,4,0,0,11,15
CG1427,106,130,871,61,188,181,65,79,402,220,143,436
asl,205,310,507,36,566,135,177,378,599,258,247,283
Rga,155,223,570,117,469,275,65,134,215,586,802,173
asRNA:ASTR,0,0,0,0,4,0,0,0,0,0,7,0
sisRNA:1,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR46135,0,1,25,0,0,0,0,0,9,0,2,7
Atu,0,0,0,0,0,0,0,0,0,0,0,0
Spec2,417,421,1534,266,1366,945,1068,563,305,269,491,396
CG2911,364,185,391,170,473,206,341,501,179,48,123,184
RpL13A,6620,3964,20288,3059,10738,7822,9782,10663,14664,9789,17468,9045
snoRNA:Me28S-U2134b,0,0,1,0,2,0,0,0,0,0,0,1
snoRNA:Me28S-U2134a,0,0,0,0,0,0,0,0,0,0,0,0
CG31551,0,0,0,0,0,0,0,0,0,0,0,0
CG31549,624,1054,2915,439,1427,739,1613,1791,1295,1256,1579,1431
CG12171,381,356,960,193,599,392,417,437,458,679,820,540
CG31546,0,0,0,0,0,2,0,0,0,0,0,0
CG31548,170,226,513,71,268,222,249,181,805,432,493,650
