Geneid,WT1_quant,WT2_quant,WT3_quant,WT4_quant
a,5.66635,9.876387,7.43051,7.033372
abd-A,0,0.507988,0.139517,0.361462
Abd-B,0,0,0,0
Abl,7.392055,10.941225,6.783699,12.767535
abo,27.23028,18.121823,27.65674,20.894028
ac,25.862376,22.043697,26.672343,26.829859
Ace,0,1.039895,0,0.373728
acj6,0.14685,0.12092,0.075474,0.159358
Acph-1,53.730258,44.751924,49.979421,41.941488
nAChRalpha1,0,0.005946,0,0
mAChR-A,0.016919,0.039308,0,0.006948
nAChRbeta1,0,0,0,0
nAChRalpha2,0,0,0,0
Act5C,6223.962393,10224.16774,8436.237718,8232.913069
Act42A,2960.000814,4232.134849,3969.593178,2681.205157
Act57B,23.299384,52.180828,80.330966,156.852703
Act79B,0,0.147993,0.072075,0
Act87E,63.296013,91.487231,96.911333,117.659203
Act88F,0.566883,0.37473,0.065469,0.799811
Pfas,23.1744,22.116908,19.311799,30.605907
Gart,154.97353,115.274134,140.503647,165.892901
Adh,0.680874,0.381783,0,0.217715
Adhr,0.960932,0.849562,0,0.31996
adp,39.179807,33.380658,34.031872,28.493819
al,54.327995,55.356956,51.294794,49.313476
Mps1,20.302592,16.810126,19.722576,12.44667
Ald,847.113704,628.482717,722.120279,603.813894
Ama,440.428503,596.561195,597.664206,507.382711
amd,16.973366,2.388549,12.278799,5.030866
amx,10.149132,15.260899,10.056529,11.47172
Amy-d,0,0,0,0
Amy-p,0,0,0,0
AnxB9,392.855043,429.829743,394.656892,481.241917
AnxB10,34.191688,41.582133,30.229831,43.336886
CG2650,0.338936,0.236697,0.35914,0.63243
Anp,0,0,0,0
aop,44.297441,82.316565,76.971017,83.921016
RpLP0,1317.396632,1360.337832,1310.105071,1537.477191
Appl,0.287393,0.454484,0.40612,0.104868
Aprt,22.047881,38.224137,19.452546,24.209612
bru1,0.082339,0.011778,0,0
Arl1,98.983548,135.303465,116.088888,113.343456
Argk,2740.603675,3491.083627,3687.565483,2845.545499
arm,437.319471,622.942139,551.319868,653.451549
arr,31.325377,43.707793,42.767895,42.796891
Arr1,0,0.052531,6.004398,0
Arr2,0.31879,0.644614,6.253876,0.641743
ase,1.543211,1.126555,1.558996,1.10633
ash2,118.178227,89.471029,114.294723,95.918361
asp,5.440003,5.608387,4.164547,13.739124
aub,0.457154,0.10539,0.32986,0.122001
aurA,40.609608,26.547374,37.849718,30.487046
awd,6071.636595,4689.728985,4600.748481,5472.702265
Axs,27.083542,33.22371,34.923474,26.065
b,3.726416,44.358498,79.574071,20.368694
Dll,12.154304,10.160968,6.440039,1.338663
bam,0,0,0,0.243353
baz,10.30479,10.254632,9.523263,9.771107
bcd,0.273947,0.237068,0.595655,0.227721
ben,456.827175,353.725434,405.853794,369.439665
bi,18.917341,6.798483,19.230363,12.787224
bib,63.763365,86.318017,93.679047,89.382446
bic,913.932882,679.659296,788.485828,713.947125
BicC,0,0,0,0
