"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1-Dec",1.83213479876581,-4.58890839147779,3.14627809445421,-1.45851963930539,0.144697365857083,NA
"1-Sep",1949.38223073841,-0.818534989143781,0.216689613423842,-3.77745373306259,0.000158439926557587,0.00087850602802892
"128up",870.620954475295,-0.56226987123052,0.248529485422075,-2.26238697704469,0.023673504829138,0.0623437321213762
"14-3-3epsilon",54548.6749578224,0.956470218625488,0.175544817732782,5.44858134223846,5.07731697040686e-08,5.61547200482015e-07
"14-3-3zeta",13169.4989714317,0.170136853314621,0.087727332627186,1.93938249596224,0.0524547803191135,0.116307903184879
"140up",254.74125702497,1.15787300201687,0.354479908318911,3.26639951896846,0.00108924456089888,0.00472730852443225
"18SrRNA-Psi:CR41602",14.0413229808298,1.5541667268174,0.526975153248325,2.94922202164062,0.0031857502097721,0.0117551493746633
"18w",399.455980669766,-2.31162237294951,0.607722200629866,-3.8037484405764,0.000142522915707938,0.000800944071630673
"2-Sep",2689.81997888748,0.670915093485827,0.135745309701519,4.94245506501151,7.71448895614469e-07,6.92848653820815e-06
"26-29-p",4992.95285624866,0.0556123692921583,0.222096399220085,0.25039743772275,0.802280010919342,0.863236133605171
"28SrRNA-Psi:CR40596",10.0737106905992,-0.714069660415468,0.740041906321517,-0.964904357869208,0.334592718499355,0.463055977318477
"28SrRNA-Psi:CR41609",0.586902909354787,0.415370580480917,2.45688817166426,0.169063690106641,0.86574654485612,NA
"28SrRNA-Psi:CR45851",4.47811507148448,-0.474489272958495,1.90067060264373,-0.24964308507666,0.802863376185437,0.863358778171444
"28SrRNA-Psi:CR45859",4.81781408527537,1.84387291773908,0.925762107962699,1.99173513571088,0.0464001264691521,0.106082975626969
"28SrRNA-Psi:CR45860",0.860131703780337,-0.918425311553573,2.11663877788167,-0.433907439073158,0.664355657490451,NA
"312",133.660996675926,-0.0907221626119709,0.49502393490622,-0.183268234553462,0.854587557401355,0.898336311731844
"4-Sep",1.26194142652802,-4.04970331995947,3.15106981621495,-1.28518362212106,NA,NA
"4E-T",754.348305182274,-0.0514547987959973,0.380339155238662,-0.135286620079149,0.892385263451671,0.927330413890852
"5-HT7",5.34129075319501,-22.7388340203179,3.14786908680346,-7.22356406613095,NA,NA
"5-Sep",120.568532876459,-2.41278809791971,1.30784793310818,-1.84485369960832,0.0650588234096731,0.136218449014556
"5PtaseI",104.855490947642,-2.5705719436646,1.43950509424372,-1.7857331342166,0.0741424777669858,0.149581593474031
"7B2",5.38003560552726,-22.7214038221656,3.14784511141495,-7.21808189982776,NA,NA
"7SLRNA:CR32864",1.04003335367632,2.01455677339662,2.02481480060162,0.994933844220242,0.31976844101017,NA
"825-Oak",2.58434693143679,4.89442822907038,3.24139757599317,1.50997466812467,0.131049888132255,0.225082789666359
"a",151.589363741676,0.812568871900545,1.14224986715035,0.711375763980361,0.476851413440163,0.601934322193616
"A16",473.903798372651,0.111609033232055,0.342542711101903,0.32582515877517,0.744556642606638,0.821923222800988
"a6",132.854286480575,-2.20265027612578,1.1821606805895,-1.86324102323164,0.0624283635870097,0.132345581407275
"AANAT1",96.8019874639256,3.20808198825084,1.23691487820051,2.59361581365891,0.00949725465742329,0.0293479476630748
"AANATL2",4.15248198804581,-1.40798268661658,3.09198240230347,-0.455365685641568,NA,NA
"Aasdh",137.035211928097,-1.13314697693089,1.33161520464574,-0.85095677263039,0.39479336590698,0.524459938374951
"Aatf",208.291315629191,-1.02808149051152,0.560583005644846,-1.83395051251848,0.0666613404432461,0.138630218758538
"aay",426.074737079994,3.78481717204364,0.746645023061377,5.06909850751461,3.99704332118731e-07,3.81164659308631e-06
"ab",346.248655912057,-1.04356387146635,0.574881934498808,-1.81526642053233,0.0694829767403616,0.143029889666777
"ABCA",2.17600224938981,-0.60816317669058,3.11392575941447,-0.19530432761664,0.845154709360783,NA
"ABCB7",311.100516449951,-0.548621644615703,0.570768182766443,-0.961198716362573,0.336452261695767,0.464909746405763
"abd-A",131.924559186274,8.55645214310415,1.35277023589744,6.3251333567579,2.53013977418249e-10,3.93545710943066e-09
"Abd-B",1.71643155571873,1.33305924385524,3.15661411343346,0.422306685566095,0.672801178922056,NA
"Abi",492.184599970951,-0.778364549730451,0.909384529237083,-0.855924556340815,0.392039511063847,0.522090777440486
"Abl",320.997358542914,-1.79966744973182,0.43565170344735,-4.1309776490965,3.61223705827184e-05,0.000235689245923063
"abo",187.285806549116,0.276691822718184,0.975993542111788,0.28349759581349,0.776795424366276,0.844510837013913
"Abp1",780.426313724103,0.0998404951455684,0.273197782024545,0.36545133860786,0.714774524624764,0.798187308622383
"abs",419.512102007372,-0.0266031305924299,0.376102225345027,-0.0707337760844803,0.943609638723911,0.964986660827482
"ac",8.30510297074227,-6.77338872683024,2.87396273842306,-2.35681160241722,0.01843259577802,0.0510167079414309
"Ac13E",6.01110223737995,-6.30246788943278,3.13891379508602,-2.00784994455704,0.0446592396490629,0.102888936490402
"Ac3",5.06104920502553,-0.0352723049509582,3.08441154803788,-0.011435667517649,NA,NA
"Ac76E",11.8939304430363,7.09779720046899,3.05074637128463,2.32657728196533,0.0199877748373236,0.0542898815561838
"ACC",106.872853028522,-0.723206412771219,1.12529247416359,-0.642683061849114,0.520429773941921,0.642492524132223
"AcCoAS",61.7267761978379,0.504043634879718,1.57052205354259,0.320940182751817,0.748255721934698,0.823835104240404
"Ace",0.769658948078325,-0.783181414401517,3.0484796315419,-0.256908855909065,0.797249133959424,NA
"Acer",10.527899315211,0.278123128465941,3.07249232762031,0.0905203654914744,NA,NA
"Acf",398.91525236606,-3.36329349995307,0.68188088062686,-4.93237689383688,8.1234977969683e-07,7.24390178327228e-06
"achi",154.773294970869,-1.5244836344766,0.716741467292751,-2.12696446911998,0.0334230354920664,0.082524296313051
"Achl",6.24207827064188,-5.33629144632092,3.13322401837589,-1.70313115660558,NA,NA
"acj6",6.70714404398663,-3.65628153661189,2.40850133184172,-1.5180732882618,0.128995924163576,0.222336614671646
"Ack",137.429943263594,-1.70785269717103,1.24380193232494,-1.37309056433019,0.169724194024055,0.274050763713132
"Ack-like",781.798507594931,-3.36288295242957,0.95472469182048,-3.52235883416526,0.000427724768094607,0.00209474170035012
"Acn",1770.13254811961,-1.2796076068611,0.290033416693994,-4.41193163686781,1.02452465079308e-05,7.4825481922582e-05
"Acox57D-d",4.28346835168503,5.6407607463244,3.2352056179115,1.74355556107306,0.0812366179677928,0.159271955903784
"Acox57D-p",18.6895451521172,-7.95261599602525,2.50948276666912,-3.1690259449683,0.00152950741108344,0.00632358813163718
"Acp26Aa",1.36257417173342,-4.16237502082851,3.14991614797056,-1.32142407140274,NA,NA
"Acp33A",0.901128481454149,-3.56351624013188,3.15721641285512,-1.12868925475696,0.259028943718087,NA
"Acp53Ea",0.663580678485649,-3.12522832783747,3.16482642184285,-0.987488067676609,0.323403429672942,NA
"Acp62F",0.982445256908223,-3.68940479575362,3.15542239937511,-1.16922691443284,0.242312220126398,NA
"Acp63F",1.1514130824696,-1.00786431219449,3.1483158173172,-0.320128084562153,0.748871236625466,NA
"Acp76A",1.09005933738674,-3.84080531248549,3.15346104032426,-1.21796504328798,NA,NA
"Acp98AB",0.953424818904453,-1.14731193635327,3.1570673188435,-0.3634106658117,0.716298135471463,NA
"Acph-1",945.026809089694,0.810649086487334,0.327539797268834,2.47496363265432,0.0133249743614987,0.0390533652246324
"Acsl",1035.56363283119,0.762375290815826,0.404136583508375,1.88642979113032,0.0592370611827418,0.127500137388923
"Act42A",87050.1866974065,2.8886964239753,0.164420075178179,17.569000749117,4.25602870222083e-69,5.8917624001077e-66
"Act57B",301.064563452778,-6.15979289467753,0.638418650606041,-9.64851651628619,4.98719407641613e-22,2.60525999991902e-20
"Act5C",115279.53437816,0.023793511028602,0.081643001182147,0.291433566675461,0.770719745635565,0.840718175543719
"Act79B",2.77433764077652,-4.88015931833241,3.14172292705654,-1.55333854437145,0.12034227645658,0.210656048102919
"Act87E",200.577255155073,-4.44701433718377,0.865489375073465,-5.1381501209143,2.77456198429632e-07,2.71123668724297e-06
"Act88F",13.9760875087872,-3.87858998539423,1.96106210184282,-1.97780069369017,0.0479511952168213,0.10879066579375
"Actn",646.914746730378,-0.394595668152118,0.471874832959856,-0.836229526539907,0.403025790653573,0.53228370443132
"Acyp2",229.838996015852,0.147508223183356,0.266487847780984,0.553527016003323,0.579902586530762,0.694020713236427
"Ada",130.498606219446,1.11842181450778,0.4748104866189,2.35551203275228,0.0184971979591603,0.0511744614268127
"Ada1-1",24.8137736806304,1.13449608282587,0.670990558072989,1.69077801345525,0.0908792079198129,0.172620482037892
"Ada1-2",36.9426534198737,0.322436335854568,0.573798318062082,0.561933218876536,0.574161519725919,0.688861127089915
"Ada2a",168.758624288426,-2.97440270486833,0.983469054801557,-3.02439887696162,0.00249127740134376,0.00956079540388331
"Ada2b",561.314812456758,0.231203640054206,0.361411200923125,0.639724611366944,0.522351652067028,0.644290588367796
"Ada3",265.538957451628,-0.682117785640019,0.799707943538228,-0.852958622146551,0.393682250753458,0.523475057577857
"AdamTS-A",1069.05846378995,-0.991988922144166,0.375819646604628,-2.63953449774744,0.00830199732792767,0.0262791119686613
"Adar",516.93694014964,-0.512528114181845,0.319193467599995,-1.60569737856958,0.108340417558715,0.195582592532642
"Adat1",69.0188051712854,-1.19187645752598,1.21406880674678,-0.98172068247082,0.326237473269452,0.454423688240159
"Adck",229.484326263324,0.546189086891581,0.56607417094967,0.964871945977099,0.334608954474536,0.463055977318477
"ADD1",364.162089116592,-1.62708993809634,0.62343261356737,-2.6098890284002,0.00905715982144866,0.0283347530986639
"AdenoK",478.462725955588,0.0460997161857504,0.410607581762127,0.112271955593009,0.910607777386203,0.940267056062879
"Adf1",1346.30760718692,-0.370674644953347,0.31751058240826,-1.16744028542875,0.243032610233653,0.362606226082401
"Adgf-A",54.3212831169635,-2.77763043299331,1.87762901059574,-1.47932867319301,0.1390524930779,0.235905869049911
"Adgf-A2",0.88076811190271,-3.53137171274308,3.15769996538163,-1.11833668539066,0.263423224435656,NA
"Adgf-C",1.6230930138631,-4.41412428394553,3.14764070427436,-1.40235963969818,NA,NA
"Adi1",281.074565872505,0.147463201483303,0.409945751586089,0.359713939985387,0.719061066322954,0.802111364071778
"AdipoR",2455.23468525607,1.04396615736121,0.124829182706889,8.36315783475529,6.1061437969952e-17,1.87843075473489e-15
"Adk1",60.1226879122158,-2.00300664470742,1.55910902497371,-1.28471236624469,0.198892815311118,0.310877629652643
"Adk2",1.53412294414804,-1.54442441019705,2.24212507731127,-0.688821701262583,0.490935477329308,NA
"Adk3",102.534596782742,-0.604767533751272,0.787812309735545,-0.767654333751503,0.442692573346839,0.570897423059627
"adp",653.094739887292,0.685810794183547,0.231776170228778,2.95893574178315,0.00308703464643232,0.0114315246425621
"AdSL",618.48503988891,-2.0054296552219,0.666860635656249,-3.00726950729126,0.00263605944583574,0.00998864496218599
"AdSS",1399.99038031583,-1.0110923019561,0.411498071366673,-2.45710094970322,0.0140063322038761,0.0407769349055011
"Aduk",365.085345899587,-0.545680823561186,0.399837597909744,-1.36475615703445,0.17232970288562,0.277415633386378
"Ady43A",900.992377142905,-0.162506951000568,0.402885677218165,-0.403357478783166,0.686685262866714,0.778012248447814
"Aef1",589.997805347975,-0.631807734557937,0.749875210053439,-0.842550501853384,0.399479884025884,0.528777675971154
"aft",448.535003119104,-1.92062733636725,0.653848509003009,-2.93741946325736,0.00330956121202708,0.0121472449965077
"Afti",84.4294768345439,-1.1770820835877,1.38228824632446,-0.851546040934362,0.394466099097579,0.524313557225874
"Ag5r",6.83031838748283,-6.01406341349985,1.48425958190342,-4.05189461926018,5.08045483715898e-05,0.000318958865286791
"Ag5r2",6.76500130424964,0.41710003067324,2.95866044702002,0.140975971437799,0.887888924758448,0.923351121703226
"AGBE",257.432056657566,-1.53434310328618,0.930592204469998,-1.64878138449487,0.0991924299975936,0.183714415387759
"AgmNAT",8.68309955553487,-1.13184271047803,3.07509815494903,-0.36806718141873,0.712823141204366,0.796650835689379
"ago",521.03976334172,-2.97803096832701,0.663417264416267,-4.48892594157516,7.15831760034031e-06,5.39047923739135e-05
"AGO1",1805.00150047784,-0.389873407320592,0.208830536686026,-1.86693676848018,0.0619104184791212,0.131605194181188
"AGO2",1501.48961061349,-0.458384146965555,0.274270517608981,-1.6712847992618,0.09466543744352,0.177249085263047
"AGO3",171.641176846529,0.503503715881053,0.83760993757264,0.601119558514536,0.547760357317476,0.666182972632992
"agt",42.858160066821,-1.00383557960798,0.675326357331698,-1.48644513679914,0.137161418346636,0.233121084670995
"Ahcy",1745.70912614696,-0.664911392288012,0.303349205111319,-2.19190088875958,0.0283866638992979,0.0721259193476808
"AhcyL1",366.596315741945,-1.75043138166252,0.756209956213118,-2.31474257549871,0.0206270242574071,0.0556259946370205
"AhcyL2",0.279843623079844,-1.88161024187982,3.20425998340515,-0.587221465057352,0.557054977997615,NA
"AIF",661.857403341235,-0.962838722099629,0.383044104840838,-2.51364975973121,0.0119489033764544,0.0357005724621691
"AIMP1",857.674121265226,0.806464053605195,0.251765396702341,3.20323628333511,0.00135892436103175,0.00569774141480553
"AIMP2",1349.86412250044,1.65033117428827,0.208921807396668,7.89927674306818,2.8052641480231e-15,7.61455033120256e-14
"AIMP3",422.986721910194,1.14959475723013,0.296555570591924,3.87649018002102,0.000105974084915969,0.000618132548674187
"Ak6",106.643451442381,-1.44640958093067,0.913469952167227,-1.5834232724339,0.113325022066587,0.201998222489552
"Akap200",12881.6721656698,0.312832200939567,0.166034718106439,1.88413727265777,0.0595464096820368,0.127956325606685
"Akh",0.968213458618274,-3.66696840596571,3.15573085491875,-1.16200290029491,0.245234286839213,NA
"akirin",2914.16249353436,-0.598589476830611,0.137771486516953,-4.34479943538211,1.39402971078526e-05,9.86270083286406e-05
"Akt1",1097.78849303127,-0.931813823927968,0.308653943292254,-3.01895972553853,0.00253644247625327,0.00969898683245527
"al",14.3250219979003,-7.56455046743199,2.66614308628834,-2.83726350109849,0.00455020424844921,0.0159065641782909
"Aladin",325.524276042134,-2.10041321768086,0.633481941898259,-3.31566391835396,0.00091425705883401,0.00405222716072025
"AlaRS",1815.39487045611,-0.824879376652721,0.336273771302638,-2.45299945177809,0.0141670554568955,0.0411726951102078
"AlaRS-m",184.598059932549,-1.65960326917157,1.1645090880952,-1.42515269836683,0.154113066159478,0.254688246621691
"Alas",160.080351935398,-1.69304519497795,1.01860110525404,-1.66212778117466,0.0964871563680336,0.179929640177432
"alc",491.865692236413,-0.0892517874437177,0.425493979599811,-0.209760400200401,0.833854681489363,0.88434370016211
"Aldh",69.8030910088098,-6.90315664445461,1.82262344658278,-3.78748372704042,0.000152180648455505,0.000848900245850521
"Aldh-III",277.123539329412,-3.29762201893705,1.30604084570856,-2.52489960767499,0.0115731344987545,0.034708598253708
