"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff.pct","gene"
"Hsp26",0,1.27565429178061,0.946,0.718,0,0.228,"Hsp26"
"RpS14a",0,1.11106598177266,0.997,0.884,0,0.113,"RpS14a"
"RpS14b",0,1.1380658129662,0.95,0.703,0,0.247,"RpS14b"
"E(spl)mbeta-HLH",4.90146634141048e-278,1.30993401059685,0.915,0.694,5.47346746345309e-274,0.221,"E(spl)mbeta-HLH"
"CG33129",1.05188047907632e-223,-0.748322869003521,0.788,0.962,1.17463493098452e-219,-0.174,"CG33129"
"mt:Cyt-b",1.06080002018342e-222,0.807508141175862,0.96,0.808,1.18459538253883e-218,0.152,"mt:Cyt-b"
"CHOp24",1.13868396455084e-212,-0.731799726475888,0.785,0.953,1.27156838321392e-208,-0.168,"CHOp24"
"Prosbeta4",1.96401950565807e-210,-0.636765987238274,0.849,0.977,2.19322058196836e-206,-0.128,"Prosbeta4"
"Reg-5",3.9131710234997e-208,-0.874764736243888,0.742,0.923,4.36983808194212e-204,-0.181,"Reg-5"
"Mlc-c",1.02459847102839e-203,-0.65000284718957,0.84,0.971,1.1441691125974e-199,-0.131,"Mlc-c"
"Hsp68",2.87545266256428e-194,6.15847251378213,0.403,0.01,3.21101798828553e-190,0.393,"Hsp68"
"ReepB",2.06120663184434e-193,-0.648824108950658,0.827,0.964,2.30174944578057e-189,-0.137,"ReepB"
"Cyt-b5",8.04449807070906e-188,-0.709204861431251,0.755,0.952,8.98329099556081e-184,-0.197,"Cyt-b5"
"miple2",1.57229182740851e-187,-0.860207044672584,0.658,0.902,1.75577828366708e-183,-0.244,"miple2"
"Su(var)205",6.13251684712644e-186,-0.797508005602522,0.688,0.916,6.84818156318609e-182,-0.228,"Su(var)205"
"Rho1",1.55793138304568e-184,-0.592783526951811,0.87,0.973,1.73974197544711e-180,-0.103,"Rho1"
"loj",6.90801439441147e-184,-1.071615830008,0.51,0.808,7.71417967423928e-180,-0.298,"loj"
"RNASEK",7.63198216162332e-180,-0.589784087797287,0.867,0.969,8.52263447988476e-176,-0.102,"RNASEK"
"ed",1.90752965762216e-178,-0.609219470704508,0.861,0.984,2.13013836866667e-174,-0.123,"ed"
"DnaJ-1",5.22582516521357e-173,2.90159367275686,0.473,0.087,5.83567896199399e-169,0.386,"DnaJ-1"
"Pomp",1.67475715018161e-163,-0.541162614576243,0.868,0.969,1.8702013096078e-159,-0.101,"Pomp"
"Ubi-p5E",4.62676559158577e-163,0.893755365413083,0.86,0.678,5.16670913612383e-159,0.182,"Ubi-p5E"
"Chchd2",1.35890833696137e-162,0.933303286902647,0.827,0.577,1.51749293988476e-158,0.25,"Chchd2"
"pasi1",4.01338940223681e-161,-1.44686307114484,0.305,0.653,4.48175194547784e-157,-0.348,"pasi1"
"Syb",5.68511091623317e-160,-0.581214828647034,0.83,0.96,6.34856336015759e-156,-0.13,"Syb"
"Ubi-p63E",1.32937688152532e-157,1.08246863714645,0.785,0.519,1.48451516359932e-153,0.266,"Ubi-p63E"
"SkpA",1.53572614454446e-157,-0.573063071218167,0.831,0.966,1.7149453856128e-153,-0.135,"SkpA"
"Rab1",5.79754151304038e-156,-0.597785417156943,0.806,0.96,6.4741146076122e-152,-0.154,"Rab1"
"aop",7.58125259941512e-156,-0.638119649088259,0.854,0.96,8.46598477776686e-152,-0.106,"aop"
"Sec13",7.91793669217979e-156,-0.82058053976039,0.617,0.863,8.84195990415718e-152,-0.246,"Sec13"
"CG30154",3.09162279399703e-155,-2.14598560360531,0.156,0.486,3.45241517405649e-151,-0.33,"CG30154"
"SrpRbeta",9.88277370950917e-154,-1.14975007275143,0.412,0.73,1.10360934014089e-149,-0.318,"SrpRbeta"
"Hsp70Bc",3.64992497328141e-151,6.05708286665629,0.327,0.007,4.07587121766335e-147,0.32,"Hsp70Bc"
"GstS1",7.64384955627181e-151,-0.761541151299743,0.671,0.877,8.53588679948873e-147,-0.206,"GstS1"
"HmgD",4.28993799707398e-149,-0.576223509025714,0.855,0.98,4.79057376133252e-145,-0.125,"HmgD"
"Roc1a",7.58039685750577e-145,-0.586340685122613,0.796,0.951,8.4650291707767e-141,-0.155,"Roc1a"
"exp",1.72256109313966e-144,-0.692999995016331,0.696,0.886,1.92358397270906e-140,-0.19,"exp"
"Eb1",1.26643585852689e-141,-0.720495813825238,0.673,0.907,1.41422892321698e-137,-0.234,"Eb1"
"CG11790",1.76917007586697e-140,-0.774586379300713,0.639,0.862,1.97563222372065e-136,-0.223,"CG11790"
"Ostgamma",5.74292740841843e-138,-0.626642017028003,0.764,0.917,6.41312703698086e-134,-0.153,"Ostgamma"
"CCT3",9.19614198422708e-137,0.829111818857381,0.829,0.605,1.02693317537864e-132,0.224,"CCT3"
"PRL-1",1.76653203962356e-134,-1.94066134703596,0.125,0.436,1.97268632864763e-130,-0.311,"PRL-1"
"Idh",2.07472023319134e-134,-0.71602385081056,0.68,0.881,2.31684008440477e-130,-0.201,"Idh"
"CG44325",9.08161909601569e-132,-0.592087212811765,0.832,0.954,1.01414440445207e-127,-0.122,"CG44325"
"Arp3",7.7050181598406e-131,-1.46883513842403,0.227,0.56,8.604193779094e-127,-0.333,"Arp3"
"Pfdn5",1.63974494281451e-128,-0.640964605458205,0.709,0.908,1.83110317764096e-124,-0.199,"Pfdn5"
"lft",3.39246631990165e-124,-0.744733049267911,0.617,0.838,3.78836713943417e-120,-0.221,"lft"
