"","X25.C.1","X25.C.2","X25.C.3","X25.C.4"
"1-Dec",0,0,17.6589612656651,4.32665631952463
"1-Sep",2973.95415119412,2471.74207248224,2618.10451653546,2888.04309328269
"128up",1419.14298136251,926.134700665764,957.508121960509,1135.74728387522
"14-3-3epsilon",33386.4636079178,25517.5088770158,40127.7003516155,35077.6450011594
"14-3-3zeta",11887.0854837364,12105.0801124363,12842.6430893556,11790.8595800912
"140up",145.742558899983,143.723808319085,191.632431512588,79.3220325246183
"18SrRNA-Psi:CR41602",6.71624695391627,7.68576515075322,6.54035602432042,4.32665631952463
"18w",591.701356640023,646.372849178346,983.669546057791,1191.27270664245
"2-Sep",2050.47019503064,2046.71925964558,1703.76274433547,1920.31429648235
"26-29-p",4894.80078001417,4473.11531773838,4648.23102648452,5442.2125405754
"28SrRNA-Psi:CR40596",11.4176198216577,9.22291818090387,10.4645696389127,21.6332815976232
"28SrRNA-Psi:CR41609",0,1.53715303015065,0,0.721109386587439
"28SrRNA-Psi:CR45851",9.40274573548277,12.2972242412052,0,0
"28SrRNA-Psi:CR45859",2.68649878156651,1.53715303015065,0.654035602432042,2.16332815976232
"28SrRNA-Psi:CR45860",0.671624695391627,3.07430606030129,0.654035602432042,0
"312",179.995418364956,193.681281798981,107.261838798855,75.7164855916811
"4-Sep",0,0,0,15.1432971183362
"4E-T",695.131559730334,973.017868085358,926.114413043771,492.517711039221
"5-HT7",0,0,64.0954890383401,0
"5-Sep",233.725393996286,274.38181588189,235.452816875535,307.913708072836
"5PtaseI",190.06978879583,309.736335575355,275.34898862389,167.297377688286
"7B2",0,64.5604272663271,0,0
"7SLRNA:CR32864",0,0.768576515075323,0,0.721109386587439
"825-Oak",0,0,0,0
"a",99.4004549179607,71.477615902005,49.7067057848352,182.440674806622
"A16",441.92904956769,448.080108288913,532.384980379682,374.255771638881
"a6",376.781454114703,198.292740889433,152.390295366666,383.630193664517
"AANAT1",16.7906173847907,28.4373310577869,0,14.4221877317488
"AANATL2",0,28.4373310577869,0,0
"Aasdh",304.917611707799,128.352278017579,282.543380250642,143.5007679309
"Aatf",389.542323327143,401.196940869318,224.988247236622,245.177191439729
"aay",69.1773436253375,44.5774378743687,25.5073884948496,39.6610162623091
"ab",415.064061752025,391.974022688414,512.109876704289,790.335887699833
"ABCA",11.4176198216577,0,0,0
"ABCB7",364.692209597653,393.511175718565,322.439551998997,495.40214858557
"abd-A",0.671624695391627,0.768576515075323,0.654035602432042,0
"Abd-B",2.68649878156651,0.768576515075323,0,0
"Abi",914.752835123395,619.47267115071,761.951476833329,429.781194406114
"Abl",577.597238036799,566.440891610513,695.239845385261,613.66408798591
"abo",248.501137294902,20.7515659070337,58.8632042188838,328.825880283872
"Abp1",1065.19676689112,627.158436301463,642.916997190697,648.998447928695
"abs",699.161307902683,308.96775906028,192.940502717452,494.681039198983
"ac",24.8501137294902,0,22.8912460851215,51.9198758342956
"Ac13E",4.02974817234976,0,60.1712754237479,7.93220325246183
"Ac3",0.671624695391627,19.9829893919584,0,0
"Ac76E",0,0,0,0
"ACC",109.474825348835,74.5519219623063,326.363765613589,69.2265011123941
"AcCoAS",0,89.1548757487374,71.2898806650926,32.4499223964347
"Ace",3.35812347695813,0,0,1.44221877317488
"Acer",0,3.07430606030129,0,33.8921411696096
"Acf",1147.1349797289,922.291818090387,1323.76805932245,609.337431666386
"achi",314.320357443281,283.604734062794,207.329285970957,291.328192181325
"Achl",0,71.477615902005,0,0
"acj6",12.7608692124409,13.0658007562805,36.6259937361944,6.48998447928695
"Ack",388.19907393636,89.1548757487374,276.657059828754,268.973801197115
"Ack-like",1675.70361500211,1790.01470361043,2925.50124967852,1461.68872661274
"Acn",3269.46901716644,2915.97929819577,2797.96430720428,2662.33585528082
"Acox57D-d",0,0,0,0
"Acox57D-p",106.788326567269,69.171886356779,0,48.3143289013584
"Acp26Aa",0,0,16.350890060801,0
"Acp33A",0,5.38003560552726,3.27017801216021,2.16332815976232
"Acp53Ea",0,0.768576515075323,7.19439162675246,0
"Acp62F",0,0,4.57824921702429,7.21109386587439
"Acp63F",0,0,0,7.21109386587439
"Acp76A",0,0,13.0807120486408,0
"Acp98AB",0,3.07430606030129,1.30807120486408,2.16332815976232
"Acph-1",355.961088557562,939.200501422044,711.590735446062,506.939898770969
"Acsl",721.324922850607,803.931034768787,440.165960436764,861.725716971989
"Act42A",10690.9219012439,17733.3659323329,18891.1643406471,18748.8440512734
"Act57B",510.434768497636,441.93149616831,1889.50885542617,671.352838912905
"Act5C",109555.420312282,112810.123729726,108274.28591142,125421.834499767
"Act79B",9.40274573548277,0,23.5452816875535,0
"Act87E",503.71852154372,177.541174982399,1177.91811998011,345.411396175383
"Act88F",12.7608692124409,56.1060856004985,62.133382231044,16.5855158915111
"Actn",507.74826971607,634.075624937141,1030.7601094329,903.550061394061
"Acyp2",169.24942323869,176.772598467324,255.073884948496,255.993832238541
"Ada",85.9679610101282,52.2632030251219,68.0197026529324,86.5331263904927
"Ada1-1",18.8054914709655,16.9086833316571,18.3129968680972,0.721109386587439
"Ada1-2",24.1784890340986,23.825871967335,32.0477445191701,46.8721101281835
"Ada2a",334.46909830503,487.277510557754,333.558157240341,457.904460483024
"Ada2b",558.791746565833,634.844201452216,461.749135317022,354.78581820102
"Ada3",363.34896020687,293.596228758773,434.933675617308,327.383661510697
"AdamTS-A",705.8775548566,2538.60822929379,1923.51870675264,1228.04928535841
"Adar",494.315775808237,803.931034768787,667.770350083115,617.990744305435
"Adat1",72.5354671022957,179.07832801255,71.2898806650926,117.540830013753
"Adck",199.472534531313,29.2059075728623,145.849939342345,327.383661510697
"ADD1",582.970235599932,573.358080246191,737.098123940911,762.212621622923
"AdenoK",661.550324960752,444.237225713536,425.123141580827,341.084739855859
"Adf1",1627.34663693391,1547.14452484662,1329.00034414191,1836.66560763821
"Adgf-A",90.6693338778696,92.2291818090387,218.447891212302,102.397532895416
"Adgf-A2",3.35812347695813,0,0,7.21109386587439
"Adgf-C",19.4771161663572,0,0,0
"Adi1",300.216238840057,209.821388615563,283.851451455506,256.714941625128
"AdipoR",1521.22993506203,1361.91758471347,1302.83892004463,1566.24958766792
"Adk1",98.0572055271775,166.01252725627,65.4035602432042,151.432971183362
"Adk2",7.38787164930789,1.53715303015065,0,2.16332815976232
"Adk3",53.7299756313301,82.2376871130595,296.278127901715,100.234204735654
"adp",321.036604397198,441.93149616831,638.338747973673,456.462241709849
"AdSL",1716.00109672561,1145.94758397731,1044.49485708397,1044.16639177861
"AdSS",2658.29054436006,2238.09481189934,1720.11363439627,1814.311216654
"Aduk",419.093809924375,663.281532510003,360.373616940055,405.263475262141
"Ady43A",517.151015451553,1680.87683846973,781.57254490629,900.665623847711
"Aef1",570.880991082883,1122.12171200997,661.229994058794,736.252683705775
"aft",790.502266475945,622.546977211011,1108.59034612231,999.45760981019
"Afti",168.577798543298,74.5519219623063,229.566496453647,64.8998447928695
"Ag5r",20.1487408617488,26.131601512561,2.61614240972817,31.7288130098473
"Ag5r2",6.04462225852464,0,15.696854458369,0
"AGBE",330.43935013268,410.419859050222,383.264863025177,703.80276130934
"AgmNAT",14.1041186032242,0,35.3179225313303,4.32665631952463
"ago",1423.84435423025,996.075163537618,1030.7601094329,1538.12632159101
"AGO1",1945.02511785415,1944.49858314057,2264.27125561973,2426.53308586673
"AGO2",2028.30658008271,1660.1252725627,1767.85823337381,1877.76884267369
"AGO3",77.2368399700371,228.267224977371,92.2190199429179,139.174111611376
"agt",48.3569780681971,53.0317795401973,51.6688125921313,106.724189214941
"Ahcy",3027.68412682545,2079.76804979382,1824.7593307854,2331.34664683719
"AhcyL1",814.009130814651,474.211709801474,830.625215088693,638.181807129883
"AhcyL2",3.35812347695813,0,0,0
"AIF",1077.95763610356,1079.85000368083,835.203464305718,923.020014831922
"AIMP1",800.576636906819,444.237225713536,519.304268331041,527.130961595418
"AIMP2",471.480536164922,603.332564334128,538.271300801571,613.66408798591
"AIMP3",275.366125110567,252.861673459781,171.357327837195,235.081660027505
"Ak6",223.651023565412,212.127118160789,168.087149825035,133.405236518676
"Akap200",13454.6575227805,8759.46654231345,11307.6215304476,10841.8796273421
"Akh",4.70137286774139,6.9171886356779,0,0
"akirin",3595.20699443138,2912.1364156204,4763.34129251256,3796.64092038287
"Akt1",1864.43015440716,1398.04068092201,1293.02838600815,1874.16329574075
"al",0,16.1401068165818,56.2470618091556,99.5130953490665
"Aladin",657.520576788403,801.625305223561,602.366789839911,602.847447187099
"AlaRS",2830.22646638031,3416.32260950981,1818.21897476108,2161.16483160255
"AlaRS-m",382.154451677836,358.1566560251,344.022726879254,271.858238743464
"Alas",229.695645823936,299.744840879376,246.57142211688,409.590131581665
"alc",372.080081246961,615.629788575333,539.579372006435,520.640977116131
"Aldh",205.517156789838,214.432847706015,108.569910003719,295.65484850085
"Aldh-III",739.458789626181,589.498187062772,597.788540622886,835.765779054842
"Alg-2",1075.94276201739,963.026373389379,1001.98254292589,1130.6995181691
"Alg1",341.856969954338,475.748862831625,425.123141580827,483.864398400171
"Alg10",760.950779878713,543.383596158253,674.964741709867,948.979952749069
"Alg11",1014.82491473675,979.935056721036,782.226580508722,691.543901737354
"Alg14",169.921047934082,144.492384834161,112.494123618311,144.221877317488
"Alg2",267.978253461259,259.778862095459,338.136406457366,242.292753893379
"Alh",246.486263208727,579.506692366793,360.373616940055,303.587051753312
"alien",1345.93588956482,1138.26181882655,1060.19171154234,1290.78580199152
"ALiX",1971.89010566982,2085.14808539935,1258.36449907925,1859.01999862242
"Alk",53.7299756313301,19.2144128768831,174.627505849355,6.48998447928695
"AlkB",396.25857028106,331.256477997464,254.419849346064,72.1109386587439
"Alp4",0,0,0,0
"alph",1239.81918769294,983.777939296413,1688.71992547953,1062.1941264433
"alpha-Cat",1961.81573523894,2369.52139597722,1961.45277169369,1697.49149602683
"alpha-Est1",0,0,0,0
"alpha-Est10",107.45995126266,142.95523180401,88.2948063283257,108.887517374703
"alpha-Est4",0,0,0,14.4221877317488
"alpha-Est5",4.02974817234976,14.6029537864311,0,0
"alpha-Est7",15.4473679940074,5.38003560552726,0.654035602432042,0
"alpha-Est9",0,142.186655288935,103.337625184263,37.4976881025468
"alpha-Man-Ia",398.945069062626,565.672315095437,765.221654845489,691.543901737354
"alpha-Man-Ib",1160.56747363673,1091.37865140696,992.172008889408,1344.86900598557
"alpha-Man-Ic",0,0,0,0
"alpha-Man-IIa",513.792891974594,808.542493859239,389.151183447065,696.591667443466
"alpha-Man-IIb",28.8798619018399,63.0232742361764,0,10.8166407988116
"alpha-PheRS",1415.78485788555,1742.36295967576,1378.70704992674,1631.87054184737
"alpha-Spec",883.186474439989,710.164699929598,1246.59185823547,928.788889924621
"alpha4GT1",464.764289211006,509.566229494939,371.4922221814,522.083195889306
"alphaCOP",1771.07432174772,2412.56168082144,1677.60132023819,2252.02461431257
"alphaKap4",0,24.5944484824103,0,0
"alphaSnap",392.900446804102,657.132920389401,408.118215917594,506.218789384382
"alphaTry",14.7757432986158,20.7515659070337,38.5881005434905,5.76887509269951
"alphaTub67C",1.34324939078325,3.84288257537661,7.19439162675246,5.04776570611207
"alphaTub84B",26464.0278725163,25756.5361732042,24982.1979060967,29671.4879299133
"alphaTub84D",2957.83515850472,2198.12883311542,2970.62970624633,2971.69178212684
"alphaTub85E",147.085808290766,75.3204984773816,21.5831748802574,22.3543909842106
"Alr",73.2070917976873,20.7515659070337,65.4035602432042,34.6132505561971
"Als2",126.937067429017,186.764093163303,69.9818094602285,181.719565420035
"alt",1569.58691313023,2607.78011565057,1676.94728463576,1103.29736147878
"Ama",8421.50205551561,1696.24836877124,3814.9896689861,2146.74264387081
"amd",0,33.8173666633142,61.4793466286119,34.6132505561971
"amn",0,0,0,63.4576260196946
"AMPdeam",727.369545109132,936.126195361743,897.336846536762,927.346671151446
"Amph",153.130430549291,97.609217414566,165.471007415307,125.473033266214
"AMPKalpha",633.342087754304,536.466407522575,434.279640014876,661.257307500681
"Amun",4873.30878976164,4063.46403520323,4584.78957304861,5480.43133806453
"amx",67.8340942345543,121.435089381901,57.5551330140197,93.0231108697796
"Amy-d",0,0,0,2.88443754634975
"Amy-p",0,0,0,7.21109386587439
"ana",435.212802613774,0,63.4414534359081,28.8443754634976
"ana1",134.324939078325,501.880464344186,512.763912306721,303.587051753312
"ana2",176.637294887998,29.2059075728623,233.490710068239,200.468409471308
"ana3",88.6544597916947,63.7918507512518,105.299731991559,30.2865942366724
"Ance",1967.18873280207,5629.82297292674,3752.20225115262,8072.09847345979
"Ance-2",6.71624695391627,51.4946265100466,7.8484272291845,82.206470070968
"Ance-4",0.671624695391627,0,4.57824921702429,0
"Ance-5",19.4771161663572,0,0,21.6332815976232
"angel",169.921047934082,57.6432386306492,122.304657654792,46.8721101281835
"Ank",1961.14411054355,2105.13107479131,1724.69188361329,1861.18332678218
"Ank2",38.2826076373227,32.2802136331635,41.2042429532186,31.7288130098473
"Ankle2",777.069772568112,830.831212796424,485.294417004575,418.243444220714
"anne",1346.60751426021,1701.62840437676,927.422484248636,1163.14944056554
"Ant2",0,36.8916727236155,11.1186052413447,0
