"","control_1.bam","control_2.bam","control_3.bam"
"Myo81F",3.16728598910172,1.47934968094665,1.02947564092046
"spok",20.5873589291612,2.21902452141998,0
"Parp",4326.51266111295,3642.15891449066,3683.46384321342
"Alg-2",8038.57184034016,8237.01902351096,7481.199482569
"Tim17b",21935.0391175239,18282.5430319792,18370.9928122257
"CG41128",5944.99580154392,5335.2746243341,5019.72322512818
"CG41099",6557.07381893783,5016.4747680901,7755.04000305385
"CG42402",0,20.7108955332531,0
"Gfat1",22288.1915053088,29623.9773609567,23290.8569001845
"lncRNA:CR41601",3.16728598910172,3.69837420236663,0
"CG40198",0,2.21902452141998,38.0905987140571
"CG12581",10433.8318695983,12127.7086844007,10977.2987591349
"CR33294",0,11.8347974475732,5.14737820460231
"beta-Man",8768.6312608281,7856.82615550767,9574.1234605603
"CG14636",137.776940525925,13.3141471285199,27.7958423048525
"aux",3051.6800504995,2302.60777839346,3869.79893422002
"DhpD",2030.2303190142,2275.97948413642,2254.55165361581
"CG14641",5650.43820455746,5139.26079160867,4688.23206875179
"abs",2890.94028655259,2465.3362432976,2789.87898689445
"Gel",3229.0480658892,3230.16002834702,3596.9878893761
"asRNA:CR46255",22.171001923712,13.3141471285199,19.5600371774888
"CG14642",124.315975072242,138.319195168512,68.974867941671
"CG34305",425.999965534181,620.587191157121,122.507601269535
"TwdlU",7.91821497275429,0,13.383183331966
"TwdlF",0,0,0
"TwdlG",0,0,0
"TwdlV",0,0,0
"CG1092",391.951641151338,59.9136620783394,112.21284486033
"CG9766",17.4200729400594,0,2.05895128184093
"cpx",6.33457197820344,0,11.3242320501251
"Vps24",615.245303383009,399.424413855596,494.148307641822
"asRNA:CR46140",6.33457197820344,3.69837420236663,1.02947564092046
"Suv3",1787.93294084792,1164.24819890502,1565.83244984002
"Syt14",8.71003647002972,62.1326865997594,4.11790256368185
"CG9795",2519.57600433042,2466.07591813807,2843.41172022232
"CG9776",5133.37876683661,5137.78144192772,6309.65620320152
"Skp2",4246.53868988813,3483.86849862937,3571.25099835309
"CG1103",7404.32282102254,7725.16403390342,7747.8336735674
"CG1090",0,0.739674840473326,0
"Sfxn1-3",2693.77673373101,3116.9897777546,2407.94352411296
"Cont",22357.0799755717,22677.6909340717,27787.6064997251
"tub",5632.22631012013,5117.81022123494,4956.92521103203
"CG14646",2415.05556669006,2494.18356207606,2713.69778946634
"CG34112",82.3494357166446,96.8974041020057,78.2401487099552
"asRNA:CR46139",16.628251442784,28.8473187784597,36.0316474322162
"asRNA:CR45999",15.0446084482332,13.3141471285199,7.20632948644324
"CG9855",372.947925216727,428.271732634056,381.935462781492
"CG9853",3000.2116531766,3378.09499644168,2756.935766385
"CG14647",2114.1633977254,2366.95948951464,2015.71330492227
"lncRNA:CR45187",50.6765758256275,53.9962633545528,29.8547935866934
"lost",82328.8483577155,90529.5434003709,94070.3956403891
"CG32944",30.0892168964663,36.244067183193,21.6189884593297
"srl",7341.76892273778,5416.63885678617,8037.11632866605
"CG31525",7.91821497275429,2.21902452141998,27.7958423048525
"eIF3a",18226.9390457831,16394.8928390913,16708.3896521391
"CG1074",357.903316768494,269.981316772764,317.078497403503
"CG9804",95.810401170327,85.8022814949058,87.5054294782393
"CG14650",4673.33047691958,4062.29422387951,5675.49920839451
"CG31522",4323.34537512384,3310.04491111813,3683.46384321342
"asRNA:CR43629",129.85872555317,182.699685596912,138.979211524262
"CG31523",7930.09229521343,6460.32005669403,8920.40642857581
"CG14651",0,10.3554477666266,0
"Fip1",6261.7244004541,6066.07336672175,6058.46414681692
"CG34425",0,0,0
"CG32945",0,0,0
"5-HT2A",0,0,1.02947564092046
"CG9775",7758.26703030466,8580.96782433106,7446.19731077771
"slx1",364.237888746698,426.052708112636,300.606887148775
"MED31",2631.22283544625,3128.0849003617,2656.04715357479
"Dlip2",979.483192129706,1061.43339607922,1107.71578963042
"rpk",652.460913754954,463.776124976776,553.857894815209
"asRNA:CR44155",19.0037159346103,14.7934968094665,11.3242320501251
"Karybeta3",21245.362593397,19108.0201539474,23474.1035642684
"spartin",283.472096024604,486.706045031449,246.044678179991
"CG43427",2912.31946697903,2423.91445223109,4599.69716363263
"lncRNA:CR44156",19.0037159346103,28.1076439379864,43.2379769186594
"eIF3f1",11420.4414552035,11811.1278526781,10662.2792130132
"lncRNA:CR44923",23.7546449182629,7.39674840473326,26.766366663932
"Nep2",8813.7650861728,7819.10273864353,8803.04620551088
"tacc",6267.26715093502,6712.54917729544,8318.16317863734
"mir-9384",8.71003647002972,8.13642324520659,7.20632948644324
"atms",3989.19670327361,4397.36692661392,3963.48121754378
"CG44098",46.7174683392503,0,87.5054294782393
"CG14655",64.9293627765852,75.4468337282793,50.4443064051027
"CG17387",8.71003647002972,13.3141471285199,15.4421346138069
"ctrip",7966.51608408809,7056.49797811553,9981.79581436481
"Hus1-like",1019.86608849075,582.863774292981,842.111074272938
"CG1129",3535.48298533479,3082.96473509282,3609.34159706714
"CG1126",0,2.21902452141998,0
"CG14657",4686.79144237327,4908.48224138099,5853.59849427375
"CG14658",0,0,0
"opa",122.732332077692,44.3804904283996,134.861308960581
"Gnf1",5830.18168443899,6729.56169862632,6567.02511343163
"Cdep",19097.1508712888,11255.6320474826,20879.8249491488
"lncRNA:CR45188",3.95910748637715,1.47934968094665,8.2358051273637
"Ubc6",10061.6757658789,8379.77626772231,9067.62144522744
"CG14661",0,0,18.5305615365683
"CG2016",2970.12243628014,858.022814949058,2240.13899464293
"CG1124",13.4609654536823,34.025042661773,18.5305615365683
"CG14662",3.16728598910172,22.9299200546731,7.20632948644324
"plh",3.16728598910172,9.61577292615324,12.3537076910456
"lncRNA:CR45585",5.54275048092801,0,6.17685384552278
"lncRNA:CR46352",6.33457197820344,18.4918710118332,3.08842692276139
"lncRNA:CR43635",17.4200729400594,10.3554477666266,16.4716102547274
"lncRNA:CR45588",4.75092898365258,2.21902452141998,0
"corto",5959.24858849488,5744.31481111585,8352.13587478771
"CG43131",38.799253366496,32.5456929808264,17.5010858956479
"CG12007",1463.28612696499,1386.15065104701,1413.4700549838
"dpr16",21.3791804264366,97.6370789424791,63.8274897370687
"cno",6075.64634859437,6322.00086152552,6463.04807369866
"snRNA:U4atac",0.791821497275429,0.739674840473326,4.11790256368185
"Prosbeta2R2",0.791821497275429,12.5744722880465,3.08842692276139
"CG1116",1524.2563822552,1818.86043272391,1324.93514986464
"CG2604",6383.66491103451,7857.56583034814,6428.04590190737
"CG14664",7.91821497275429,0,0
"Vps37B",3108.69119830334,3598.51809890273,2952.53613815989
"Kat60",3076.22651691504,2733.09853554894,3418.88860349686
"Mms19",2811.75813682505,2611.79186171132,2909.29816124123
"CG12163",15202.9727476882,16476.9967463838,15220.797351009
"CG33293",0,0,3.08842692276139
"asRNA:CR44019",29.2973953991909,27.3679690975131,37.0611230731367
"CG1113",0,0,3.08842692276139
"CG12173",3520.43837688656,3593.34037501942,3225.34718300381
"Hph",2331.12248797886,2065.17215460153,2335.88022924853
"Tim17a2",96.6022226676024,54.7359381950261,77.2106730690347
"lncRNA:CR45793",0,4.43804904283996,1.02947564092046
"mtd",8533.4602761373,9850.98952542376,8604.35740681323
"CG31538",0,0,2.05895128184093
"Tim17b1",0,5.91739872378661,2.05895128184093
"CG11999",3348.61311197779,3300.42913819198,2953.56561380081
"CG1161",5633.0181316174,6582.36640537213,5880.36486093768
"Prosbeta7",12667.5603134123,11768.9663867711,11411.7374796033
"Cerk",2331.91430947614,3412.12003910345,2424.41513436769
"RpII18",9318.94720143453,10322.9020736457,9338.37353878952
"hd",797.364247756357,918.676151867871,893.584856318962
"CG14667",793.40514026998,972.672415222424,887.408002473439
"7B2",5.54275048092801,11.8347974475732,3.08842692276139
"kkv",10324.5605029743,18088.0085489347,15099.3192253804
"CG14668",0,0,3.08842692276139
"CG1172",2266.19312520228,1625.0656245199,2170.13465106034
"CG2663",3111.06666279516,1068.83014448396,1322.87619858279
"CG14669",0,0,0
"CG12147",0,0,0
"PEK",4841.19663434198,4865.58110063354,6996.31645569547
"RpL35A",26530.7710877105,26890.1391505673,23858.0979783317
"POLDIP2",1384.89579873473,1372.83650391849,1226.10548833627
"mRpL44",2080.11507334255,2002.29979316129,1997.1827433857
"Snr1",6526.98460204136,7560.95621931834,6270.53612884654
"Hcs",950.185796730515,728.579717866226,982.119761438121
"ksr",2893.31575104442,2920.23627018869,3506.3940329751
"CG31550",4426.28216976965,4188.03894675997,4736.61742387505
"NKCC",145.695155498679,135.360495806619,249.133105102752
"Itp-r83A",2493.44589492033,1910.5801129426,2373.97082796259
"CG2519",6165.91399928377,4759.06792360538,6323.03938653348
"mia",841.706251603781,883.911434365625,705.190814030517
"Pcmt",5142.88062480391,6844.21129889969,5603.43591353008
"Snm1",1160.81031500578,1110.25193555046,1038.74092168875
"Pi4KIIalpha",1398.35676418841,1129.48348140277,1517.44709471676
"asRNA:CR46136",0,5.17772388331328,4.11790256368185
"CG14671",1162.39395800033,1059.2143715578,1041.82934861151
"CG12746",851.208109571087,696.0340248854,820.492085813609
"CG2931",1939.9626683248,1764.86416936936,1766.58019981951
"Rheb",4292.4643367301,3341.85092925849,3430.21283554698
"CRMP",526.56129568816,389.06896608897,347.962766631116
"CG2926",13040.508238629,12178.0065735528,15953.7840073444
"rev7",280.304810035502,228.559525706258,161.627675624513
"noi",4284.54612175735,4295.29179862861,4571.90132132777
"Vha26",14036.6196822015,12075.9314455675,14099.6983780467
"kra",83385.1382350809,64075.0727308424,83605.7757504326
"snoRNA:Psi28S-3385b",7.91821497275429,3.69837420236663,5.14737820460231
"snoRNA:Psi28S-3385a",2.37546449182629,2.9586993618933,7.20632948644324
"snoRNA:Psi28S-3091b",7.12639347547886,5.91739872378661,11.3242320501251
"snoRNA:Psi28S-3091a",2.37546449182629,4.43804904283996,5.14737820460231
"snoRNA:Psi28S-3571",6.33457197820344,0,10.2947564092046
"snoRNA:Psi28S-3186",18.2118944373349,8.87609808567991,35.0021717912957
"snoRNA:Psi28S-2442b",13.4609654536823,8.13642324520659,18.5305615365683
"snoRNA:Psi28S-2442a",7.12639347547886,5.91739872378661,25.7368910230116
"CG1427",1716.66900609313,1866.1996225142,1477.29754472086
"asl",3395.33058031704,4124.42691047927,3933.62642395709
"Rga",5857.89543684363,5073.42973080654,5868.01115324664
"asRNA:ASTR",0.791821497275429,11.8347974475732,21.6189884593297
"asRNA:CR46135",13.4609654536823,8.13642324520659,5.14737820460231
"Spec2",535.27133215819,549.578406471681,577.53583455638
"CG2911",181.327122876073,221.902452141998,214.130933311456
"RpL13A",65741.7716327898,68379.9803023971,61884.8692026518
