"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Myo81F",1.6359735067284,3.57096117554912,3.90217794517432,0.915120024181673,0.360128623842742,0.839505591485865
"Parp",1163.33427338191,0.25874311317911,0.519275244031727,0.498277389790802,0.618288542010937,0.945846556699256
"Alg-2",2427.28144743904,-0.76996008795475,0.291928645466233,-2.63749412711816,0.00835210717536422,0.160088911425331
"Tim17b",8092.88626153552,-0.604027902344569,0.175824216611513,-3.43540789764575,0.000591662541074124,0.0277368547869809
"CG41128",2282.52418084773,-0.564489526778406,0.229830135549269,-2.45611623310119,0.0140447722525835,0.222599628654999
"CG41099",736.551678747892,0.322681368873891,0.452291802567177,0.713436252972913,0.475575846511855,0.90040805010065
"Gfat1",3492.68522607731,0.395129699015775,0.222448657873367,1.77627369296473,0.0756878170434438,0.515488990808232
"CG12581",373.567021130838,0.467452683215731,0.766439098894459,0.609901926832807,0.54192677605466,0.92285017125689
"beta-Man",595.261622610853,0.412940141795902,0.913922696319746,0.4518326806619,0.651389524489804,0.954096231804942
"CG14636",48.2554020103811,-2.03394987504965,2.47518723767133,-0.821735763700526,0.41122730000406,0.872411354532726
"aux",521.365053980481,-0.0864965869703376,0.93195960476612,-0.0928115194349484,0.926053299329033,0.986784065370216
"DhpD",228.630744858344,-0.164671165929794,0.83164902396759,-0.198005602344351,0.843040680477061,0.976005701866776
"CG14641",1446.36779642774,-0.369038391328793,0.307221524850147,-1.20121268035759,0.229668711845901,0.71992758956991
"abs",402.42443191976,0.716724424451499,0.500255538958421,1.43271661907789,0.151938838135847,0.621678195540847
"Gel",168.369825622633,2.13530648337438,1.58535089035212,1.34689834053085,0.178012976078169,0.649764061838795
"CG14642",5.5568579611756,4.96185835746521,3.86559669744137,1.28359442172264,0.199283902584828,0.684382814608014
"CG1092",52.5682400743166,-0.991149993812116,3.21774577991107,-0.308026196475816,NA,NA
"Vps24",79.0835020712692,0.220832235089811,1.00719439773585,0.21925482864702,0.826451547274322,0.976005701866776
"Suv3",438.66669803207,0.0898483631548806,0.95567458667162,0.094015645501049,0.925096728472385,0.986784065370216
"CG9795",318.921935959993,-0.00395695775987046,1.2231485853764,-0.00323505893493127,0.997418800924834,0.99889766056923
"CG9776",283.520254783892,-0.0688664853728495,0.680753390596753,-0.101162162868525,0.919421732242355,0.985445065945707
"Skp2",596.981657337187,-0.0184241990068784,0.602766083382653,-0.0305660844476915,0.97561559019426,0.99432337569719
"CG1103",908.06075990967,-0.57902760787815,0.467496677222103,-1.238570531279,0.21550458695547,0.702610640540729
"Sfxn1-3",335.227811997286,0.857150385806797,0.757738071953097,1.13119614485974,0.257972544195544,0.750748092014994
"Cont",1446.89112970299,1.18855931155209,0.409918612132197,2.8995007213012,0.00373757485102428,0.0985959575954947
"tub",642.243596208274,0.221466477896131,0.493937190646545,0.448369716008305,0.653886394029302,0.955038311292199
"CG14646",787.856713555625,0.455684476025916,0.451908081028295,1.00835655558322,0.313283321353437,0.799332834713739
"CG34112",31.2723621277352,2.41594783354846,1.73530310627857,1.39223391280015,0.163851576482832,0.634413407955571
"asRNA:CR46139",3.47417463179224,4.49234083149262,3.8753550028422,1.15920756374524,0.246371589098482,0.740819419917701
"asRNA:CR45999",16.1367979437268,3.76500808565676,2.75713932964269,1.36554872116118,0.172080650938306,0.642549535888686
"CG9855",36.8389547050562,-0.513889374786135,1.32151084766951,-0.388865044651264,0.697375981339962,0.964088700984169
"CG9853",852.400197499244,-0.274742488106801,0.400365435333363,-0.686229289194353,0.492568530852099,0.910071736512791
"CG14647",1037.388440369,-0.652731014191218,0.420349285452975,-1.55283007912771,0.120463734646231,0.590309421949266
"lncRNA:CR45187",0.510081819538187,-1.87556790581554,3.97652053093266,-0.471660561343976,0.637169091824196,0.951717825830306
"lost",10102.4919691815,0.275857690692069,0.159207619733396,1.7326915078186,0.0831505147212484,0.526079110211996
"srl",277.215288518126,-1.12173140783325,0.770097084649279,-1.45661038094192,0.14522396051,0.611831398120848
"CG31525",0.642325254233273,-2.1907243185763,3.96331862911103,-0.552749986459625,0.58043461973509,0.934024443916144
"eIF3a",679.963018746542,0.788714144105403,0.369162671157919,2.13649484556907,0.0326391006620622,0.359260935434467
"CG1074",23.7222094323743,0.551909322322547,1.41481636200152,0.390092549920591,0.696468111627599,0.963773699128868
"CG9804",4.1110718750794,0.524161517212147,2.6563217642725,0.197326063529695,0.843572384556247,0.976005701866776
"CG14650",229.921481544811,0.675430029118861,1.51533068623926,0.44573111021406,NA,NA
"CG31522",315.918160237174,-0.0266867916211874,1.48314712803397,-0.0179933542106257,0.985644155125758,0.996310692341855
"asRNA:CR43629",25.5427154859136,0.458492611443998,2.02084176422973,0.226881995196076,0.820515502755828,0.976005701866776
"CG31523",2297.88174331185,1.37362365110077,0.40984240686562,3.35158985036694,0.000803489608227543,0.0347375340623708
"Fip1",362.890779393987,-0.433442461525844,0.665010358220031,-0.651783022878016,0.514541155160936,0.917013183366508
"CG34357",26.1976076228712,-1.8076255591974,2.45591092493916,-0.73603058679426,0.461712083718924,0.893860822498978
"CG9775",355.328240455136,0.29093602396463,0.613437512192298,0.474271654703484,0.635306201904045,0.951486864388477
"MED31",388.759840891736,-0.208809645236968,0.486923952041837,-0.428834203701334,0.668043885528441,0.956838218398173
"slx1",37.9732356330957,-2.19273031617421,2.10276935850822,-1.04278213266804,0.297049208313726,0.786538597855534
"Dlip2",347.824680214157,-1.17255445010685,0.581960790390923,-2.01483410818658,0.0439220339252401,0.424808047777455
"Karybeta3",648.916267199594,1.89082310506729,0.494158185026698,3.82635188965885,0.000130056340462613,0.00810864078390656
"spartin",40.1311598075354,-1.85847236298879,3.06434405002745,-0.606482931631694,0.544194113093076,0.92285017125689
"smash",283.539700333414,-0.37941188273029,0.703102209398882,-0.539625502037135,0.589455325819869,0.936151295006168
"lncRNA:CR44156",9.16258083244522,-5.95342031110022,3.91107694996818,-1.52219462497373,NA,NA
"CG33927",3.51260968814086,-4.54925091040788,3.91812481652114,-1.16107860863072,0.245609933088195,0.739897011253719
"eIF3f1",2470.64886856382,-0.47835883124511,0.327837365945996,-1.45913456162867,0.144528075324464,0.610413042407033
"lncRNA:CR44923",64.758984021013,-1.28345081715308,2.65632657068085,-0.483167556022344,0.62897676978145,0.949559930258138
"Nep2",5737.94516923705,1.76158714054264,0.434096152165332,4.05805748739215,4.94825886891642e-05,0.00414057532450619
"tacc",936.046491653061,0.999152177151236,0.456459924411881,2.18891544189466,0.0286029864989759,0.333216228944656
"atms",517.300166053871,0.647428149472953,1.20963294790882,0.535226946812427,0.592492934931921,0.936379898325035
"CG44098",224.089646023889,1.88786999067776,1.49950363276729,1.25899661022745,0.208031556250202,0.690068870732768
"CG44088",1.58692121634103,-3.451591630209,3.9308727431256,-0.878072595009651,NA,NA
"CG14655",5.179607695924,1.94388667630493,2.97829440636429,0.652684527141122,0.513959679595725,0.917013183366508
"ctrip",336.0065815358,0.637504428788374,0.534655330500844,1.19236523498454,0.233118065654559,0.726020299049029
"Hus1-like",524.804214767705,-1.07955191664127,0.780771703735794,-1.38267295225466,0.166765168978511,0.636784369475355
"CG1129",511.300968652459,0.43037806007632,0.639623340382133,0.67286171861583,0.501035268439637,0.911207398690641
"CG14657",688.356516609477,-0.338052798052757,0.45880806903328,-0.736806566556342,0.461239989342387,0.893860822498978
"Gnf1",72.2860120174154,9.30950788939705,1.54595397140648,6.0218532126978,1.72431241593183e-09,1.34185992207815e-06
"Cdep",483.443640886996,0.559650608272389,0.961302975104897,0.582179211721799,0.560445974324242,0.927534893180791
"Ubc6",2036.76016486323,0.343473241355744,0.487202527009841,0.704990681111155,0.480816035495666,0.902271987948474
"CG2016",31428.8989562963,-0.0430269417158337,0.187169861317782,-0.229881784454504,0.818183631201914,0.976005701866776
"CG1124",53.7466560618338,1.59285258688909,1.76556964739643,0.902174881199372,0.366963976001863,0.84642730666188
"lncRNA:CR43424",5.31705176807505,6.32717636859121,3.88472956263846,1.62873020285455,0.103370146030015,0.569303946500761
"corto",137.295770656814,1.15448207310582,1.0603656863459,1.0887584236003,0.27626043047419,0.767325999663093
"CG12007",446.148457989766,0.677330716103065,0.797083438686845,0.849761371555948,0.395457769901756,0.863202499941165
"cno",213.740993190152,-1.40361520991377,0.954537102989922,-1.47046689491398,0.14143534536387,0.608728032056866
"CG1116",523.686315472186,0.186974724312772,0.466264891201564,0.401005368066505,0.688416171700104,0.963094772540645
"Sccpdh1",917.318142973723,0.56380124765232,0.543989848058927,1.03641869359159,0.300006853009307,0.789534436969369
"CG14664",142.335433617382,3.97790903872555,2.13274772344546,1.86515685610449,0.062159421004154,0.483724614254326
"Vps37B",1073.61845133391,-0.312936600778389,0.3239015420967,-0.966147301283802,0.333970478327607,0.816781994518491
"Kat60",128.819539099345,0.686131902810282,1.12250592569198,0.611250138735175,0.541033994857686,0.922314276313385
"Mms19",65.8412603345849,-0.119050420222586,2.06888499919219,-0.0575432758558694,NA,NA
"CG12163",2995.13546789287,0.0824097769795923,0.310472295052147,0.265433593569921,0.790675460047043,0.976005701866776
"asRNA:CR44019",7.64172315152269,-2.26901188421379,3.53910995236309,-0.641125004522325,0.521441469745025,0.917742055830209
"CG12173",402.057281189914,-0.427946681742004,0.568885571842485,-0.752254412703746,0.451898077020871,0.88804819075162
"Hph",85.0716824004136,0.0188360950937143,1.43782187501572,0.0131004371410807,0.989547662440445,0.997268834001162
"mtd",951.555365887877,-0.343687189734735,0.389257696513671,-0.882929721911522,0.377274243746824,0.852984362338508
"CG31538",19.9948551478788,-21.2504020053051,3.90875596109178,-5.43661518315138,5.43022405771256e-08,1.50921441489711e-05
"CG11999",2894.12262837887,-0.977134934121059,0.349022109434228,-2.79963620558312,0.0051160227891386,0.119569814605752
"CG1161",2269.4364458061,-0.1422971049496,0.280598701960461,-0.507119612298316,0.612070894749885,0.943008454354307
"Prosbeta7",3144.78202776049,0.103339824776409,0.27076725701252,0.381655544014434,0.702716879026836,0.964647442764688
"Cerk",48.4304828653362,9.58503207413399,2.81252292294958,3.40798362776787,0.000654448212501909,0.0297831344426307
"RpII18",4828.35764855597,-0.917382217229653,0.291150330103162,-3.15088846680889,0.00162774635611328,0.0568032383106437
"hd",42.3782496285322,-2.59086114835627,2.90848102031169,-0.890795274324541,0.373039010838331,0.849572602383346
"CG14667",54.0293818781546,-0.207401255697034,2.24549248766797,-0.0923633709914694,0.926409340704079,0.986784065370216
"7B2",20.705543489402,-21.3062359937505,3.90868061643478,-5.45100459325442,NA,NA
"kkv",620.181324949628,0.46898325773297,0.462668937331036,1.01364759959542,0.310750936078713,0.798020776729087
"CG1172",381.316397023975,2.92283077711995e-05,0.561896670470758,5.20172289803959e-05,0.99995849625612,0.99995849625612
"CG2663",2970.7924620081,0.117734803097767,0.344518591517924,0.34173715438414,0.732548708481217,0.971221531971671
"PEK",57.0777804305289,0.84733372272691,2.28270916306375,0.371196531050699,0.710491156666272,0.967255746471167
"RpL35A",2076.20787080212,-0.348445485506651,0.268486417512051,-1.29781420131248,0.194351188445021,0.672794016227381
"POLDIP2",552.690308702721,0.208136748283942,0.402123688225672,0.51759385079333,0.604741673038538,0.938966420507962
"mRpL44",299.985314435726,0.645803486224911,0.741510875126269,0.87092921747768,0.383792802483901,0.856230087604786
