"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060541","GO:0060541","respiratory system development","29/284","252/12275",8.34501850649936e-13,1.65648617354012e-09,1.16039678390375e-09,"Rho1/pasi1/aop/ed/exp/crok/colt/Rheb/bark/Ras85D/cold/ich/Catsup/shg/peb/mbf1/Lac/pck/kune/knk/Ccm3/mmy/CCT3/cv-c/VhaPPA1-1/hid/Trf2/rho/arm",29
"GO:0007424","GO:0007424","open tracheal system development","27/284","243/12275",1.22819098627529e-11,1.21897955387822e-08,8.53915943615608e-09,"Rho1/pasi1/aop/ed/crok/colt/Rheb/bark/Ras85D/cold/ich/Catsup/shg/peb/mbf1/Lac/pck/kune/knk/mmy/CCT3/cv-c/VhaPPA1-1/hid/Trf2/rho/arm",27
"GO:0035152","GO:0035152","regulation of tube architecture, open tracheal system","16/284","89/12275",1.71277926442749e-10,8.86924598763593e-08,6.21305790781761e-08,"Rho1/pasi1/crok/bark/cold/ich/shg/peb/Lac/pck/kune/knk/mmy/CCT3/cv-c/rho",16
"GO:0019941","GO:0019941","modification-dependent protein catabolic process","29/284","313/12275",1.78725359952361e-10,8.86924598763593e-08,6.21305790781761e-08,"SkpA/Prosbeta4/Pomp/Roc1a/Prosalpha3/Prosbeta1/Prosalpha4/Prosbeta3/Prosalpha7/Prosbeta5/Rpt3/Rpn8/CG40045/Nedd8/Prosalpha2/Rpn5/Rpt4/Ubi-p5E/Pka-C1/Prosbeta6/Ubi-p63E/CkIIalpha/Rad23/Rpn11/Rpt5/gus/sina/Vsp37A/rpr",29
"GO:0043632","GO:0043632","modification-dependent macromolecule catabolic process","29/284","320/12275",3.02784132206203e-10,1.20205300485863e-07,8.4205860767241e-08,"SkpA/Prosbeta4/Pomp/Roc1a/Prosalpha3/Prosbeta1/Prosalpha4/Prosbeta3/Prosalpha7/Prosbeta5/Rpt3/Rpn8/CG40045/Nedd8/Prosalpha2/Rpn5/Rpt4/Ubi-p5E/Pka-C1/Prosbeta6/Ubi-p63E/CkIIalpha/Rad23/Rpn11/Rpt5/gus/sina/Vsp37A/rpr",29
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","24/284","229/12275",6.01661647850994e-10,1.99049728497371e-07,1.39437725756345e-07,"SkpA/Prosbeta4/Pomp/Roc1a/Prosalpha3/Prosbeta1/Prosalpha4/Prosbeta3/Prosalpha7/Prosbeta5/Rpt3/Rpn8/CG40045/Prosalpha2/Rpn5/Rpt4/Pka-C1/Prosbeta6/CkIIalpha/Rad23/Rpn11/Rpt5/gus/sina",24
"GO:0045216","GO:0045216","cell-cell junction organization","15/284","84/12275",7.12469694562904e-10,2.02036049101052e-07,1.41529694213172e-07,"Rho1/pasi1/CG44325/crok/bark/cold/shg/Cont/Lac/p120ctn/pck/kune/Rab11/wol/arm",15
"GO:0007043","GO:0007043","cell-cell junction assembly","13/284","61/12275",1.00688489440854e-09,2.49833314425118e-07,1.75012492830747e-07,"pasi1/CG44325/crok/bark/cold/shg/Cont/Lac/p120ctn/pck/kune/wol/arm",13
"GO:0051603","GO:0051603","proteolysis involved in cellular protein catabolic process","29/284","341/12275",1.3469991548062e-09,2.97088146921144e-07,2.08115308011577e-07,"SkpA/Prosbeta4/Pomp/Roc1a/Prosalpha3/Prosbeta1/Prosalpha4/Prosbeta3/Prosalpha7/Prosbeta5/Rpt3/Rpn8/CG40045/Nedd8/Prosalpha2/Rpn5/Rpt4/Ubi-p5E/Pka-C1/Prosbeta6/Ubi-p63E/CkIIalpha/Rad23/Rpn11/Rpt5/gus/sina/Vsp37A/rpr",29
"GO:0044257","GO:0044257","cellular protein catabolic process","29/284","345/12275",1.76483688132679e-09,3.34360080026819e-07,2.34224932104164e-07,"SkpA/Prosbeta4/Pomp/Roc1a/Prosalpha3/Prosbeta1/Prosalpha4/Prosbeta3/Prosalpha7/Prosbeta5/Rpt3/Rpn8/CG40045/Nedd8/Prosalpha2/Rpn5/Rpt4/Ubi-p5E/Pka-C1/Prosbeta6/Ubi-p63E/CkIIalpha/Rad23/Rpn11/Rpt5/gus/sina/Vsp37A/rpr",29
"GO:0010498","GO:0010498","proteasomal protein catabolic process","24/284","242/12275",1.85287701778086e-09,3.34360080026819e-07,2.34224932104164e-07,"SkpA/Prosbeta4/Pomp/Roc1a/Prosalpha3/Prosbeta1/Prosalpha4/Prosbeta3/Prosalpha7/Prosbeta5/Rpt3/Rpn8/CG40045/Prosalpha2/Rpn5/Rpt4/Pka-C1/Prosbeta6/CkIIalpha/Rad23/Rpn11/Rpt5/gus/sina",24
