"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009886","BP","GO:0009886","post-embryonic animal morphogenesis","39/272","489/12275",2.7453831880332e-12,5.59234555402363e-09,3.47941195620208e-09,"Ubi-p63E/Trf2/lola/rpr/puc/Moe/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/RhoGAP71E/sgg/Pvr/spin/arm/rho/CG42674/Gli/mwh/mirr/sd/kis/ImpE1/Spn88Ea/ft/Atg8a/shn/btsz/sty/Ras85D/Cyp301a1/ImpE2/hid/e(y)3/cbt",39
"GO:0048707","BP","GO:0048707","instar larval or pupal morphogenesis","37/272","475/12275",2.12052450951702e-11,1.4549442000567e-08,9.05228440621276e-09,"Ubi-p63E/Trf2/lola/rpr/puc/Moe/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/RhoGAP71E/sgg/Pvr/arm/rho/CG42674/Gli/mwh/mirr/sd/kis/ImpE1/Spn88Ea/ft/Atg8a/shn/sty/Ras85D/Cyp301a1/ImpE2/hid/e(y)3/cbt",37
"GO:0034329","BP","GO:0034329","cell junction assembly","25/272","222/12275",2.14277496326465e-11,1.4549442000567e-08,9.05228440621276e-09,"SkpA/cindr/Sema1a/Imp/Arp3/par-1/sgg/spin/Pdk1/arm/ben/Mob2/alpha-Spec/Prosap/AGO1/Gli/Spn/pasi1/plum/kis/CG44325/Pak3/crb/btsz/Rheb",25
"GO:0040007","BP","GO:0040007","growth","35/272","443/12275",5.2746111544641e-11,2.40056580738955e-08,1.49356961067463e-08,"Lk6/SkpA/Myc/Sema1a/Imp/bun/Arp3/par-1/InR/sgg/spin/Pdk1/arm/ben/Mnt/eIF4E1/scyl/Mob2/alpha-Spec/Prosap/mirr/Sep2/plum/kis/crb/Spn88Ea/ft/kuz/btsz/kibra/Rheb/fwe/Ras85D/hid/Fbxl7",35
"GO:0048569","BP","GO:0048569","post-embryonic animal organ development","37/272","492/12275",5.89240502550209e-11,2.40056580738955e-08,1.49356961067463e-08,"lola/rpr/puc/Moe/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/RhoGAP71E/sgg/akirin/Pvr/arm/rho/CG42674/Gli/E2f1/mwh/lwr/mirr/sd/kis/ImpE1/Spn88Ea/ft/shn/sty/Ras85D/Cyp301a1/ImpE2/hid/e(y)3/cbt",37
"GO:0007560","BP","GO:0007560","imaginal disc morphogenesis","34/272","428/12275",8.81135749653423e-11,2.56410503149146e-08,1.59531946253041e-08,"lola/rpr/puc/Moe/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/RhoGAP71E/sgg/Pvr/arm/rho/CG42674/Gli/mwh/mirr/sd/kis/ImpE1/Spn88Ea/ft/shn/sty/Ras85D/Cyp301a1/ImpE2/hid/e(y)3/cbt",34
"GO:0048563","BP","GO:0048563","post-embryonic animal organ morphogenesis","34/272","428/12275",8.81135749653423e-11,2.56410503149146e-08,1.59531946253041e-08,"lola/rpr/puc/Moe/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/RhoGAP71E/sgg/Pvr/arm/rho/CG42674/Gli/mwh/mirr/sd/kis/ImpE1/Spn88Ea/ft/shn/sty/Ras85D/Cyp301a1/ImpE2/hid/e(y)3/cbt",34
"GO:0040008","BP","GO:0040008","regulation of growth","28/272","303/12275",1.46004450720056e-10,3.55821627210386e-08,2.21382962127641e-08,"Lk6/SkpA/Myc/Sema1a/bun/Arp3/InR/sgg/spin/Pdk1/Mnt/eIF4E1/scyl/Mob2/alpha-Spec/mirr/plum/kis/crb/ft/kuz/btsz/kibra/Rheb/fwe/Ras85D/hid/Fbxl7",28
"GO:0051094","BP","GO:0051094","positive regulation of developmental process","26/272","263/12275",1.57211322773367e-10,3.55821627210386e-08,2.21382962127641e-08,"E(spl)mbeta-HLH/DnaJ-1/puc/Myc/Roc1a/Imp/dl/bun/Arp3/Fis1/InR/tral/Pvr/Pdk1/ben/Prosap/Gli/E2f1/kis/Pak3/kuz/btsz/Rheb/Ras85D/mas/hid",26
"GO:0045595","BP","GO:0045595","regulation of cell differentiation","33/272","432/12275",4.7366827757721e-10,9.64862281424777e-08,6.00312217055749e-08,"E(spl)mbeta-HLH/DnaJ-1/puc/Cyt-b5/Myc/Sema1a/Roc1a/Imp/dl/bun/par-1/mago/InR/sgg/Pvr/spin/Prosap/mask/Gli/E2f1/cnc/cwo/Syx1A/lwr/sd/kis/kuz/sty/kibra/Rheb/Ras85D/mas/hid",33
