"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051094","GO:0051094","positive regulation of developmental process","14/114","263/12275",1.40623108748325e-07,0.000186184995982782,0.0001342580627734,"E(spl)mbeta-HLH/E(spl)m3-HLH/DnaJ-1/Fis1/Roc1a/Rab1/Arp3/bun/puc/kay/hid/Myc/Pdk1/ImpL2",14
"GO:0048707","GO:0048707","instar larval or pupal morphogenesis","17/114","475/12275",1.70237861312744e-06,0.000668991385201343,0.000482409911255858,"Ubi-p63E/Fkbp14/Rho1/Fas2/lft/Trf2/Nrg/puc/kay/ct/hid/ImpE1/Myc/rpr/tnc/Dl/ImpE2",17
"GO:0009725","GO:0009725","response to hormone","10/114","156/12275",1.80607920773148e-06,0.000668991385201343,0.000482409911255858,"Roc1a/SkpA/Sec13/Trf2/Blimp-1/hid/Myc/Pdk1/rpr/ImpL2",10
"GO:0045595","GO:0045595","regulation of cell differentiation","16/114","432/12275",2.28069986492675e-06,0.000668991385201343,0.000482409911255858,"E(spl)mbeta-HLH/E(spl)m7-HLH/E(spl)m3-HLH/DnaJ-1/Roc1a/Rab1/Rho1/Cyt-b5/Fas2/bun/puc/kay/hid/Myc/Antp/Dl",16
"GO:0009886","GO:0009886","post-embryonic animal morphogenesis","17/114","489/12275",2.52640251208967e-06,0.000668991385201343,0.000482409911255858,"Ubi-p63E/Fkbp14/Rho1/Fas2/lft/Trf2/Nrg/puc/kay/ct/hid/ImpE1/Myc/rpr/tnc/Dl/ImpE2",17
"GO:0060284","GO:0060284","regulation of cell development","14/114","348/12275",4.01360882087895e-06,0.000885669679807287,0.000638656701848632,"E(spl)mbeta-HLH/E(spl)m7-HLH/E(spl)m3-HLH/Roc1a/Rab1/Rho1/Fas2/bun/puc/kay/hid/Myc/Antp/Dl",14
"GO:0007560","GO:0007560","imaginal disc morphogenesis","15/114","428/12275",9.46645966158194e-06,0.00156669907399181,0.00112974722540195,"Fkbp14/Rho1/Fas2/lft/Nrg/puc/kay/ct/hid/ImpE1/Myc/rpr/tnc/Dl/ImpE2",15
"GO:0048563","GO:0048563","post-embryonic animal organ morphogenesis","15/114","428/12275",9.46645966158194e-06,0.00156669907399181,0.00112974722540195,"Fkbp14/Rho1/Fas2/lft/Nrg/puc/kay/ct/hid/ImpE1/Myc/rpr/tnc/Dl/ImpE2",15
"GO:0007424","GO:0007424","open tracheal system development","11/114","243/12275",1.55984375935033e-05,0.00191278146677236,0.00137930735439858,"CCT3/Rho1/Fas2/colt/ich/Trf2/Nrg/Blimp-1/ct/hid/Cad88C",11
"GO:0045597","GO:0045597","positive regulation of cell differentiation","9/114","160/12275",1.74809546562615e-05,0.00191278146677236,0.00137930735439858,"E(spl)mbeta-HLH/E(spl)m3-HLH/DnaJ-1/Roc1a/Rab1/bun/puc/kay/Myc",9
