"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"aos_Egfr","aos_Egfr","EGFR signaling pathway","aos","Egfr","aos","aos",NA,"inhibition receptor","KEGG: mmu04350","Secreted Signaling","aos_Egfr"
"grk_Egfr","grk_Egfr","EGFR signaling pathway","grk","Egfr","grk","grk",NA,"inhibition receptor","KEGG: mmu04350","Secreted Signaling","grk_Egfr"
"Krn_Egfr","Krn_Egfr","EGFR signaling pathway","Krn","Egfr","Krn","Krn",NA,"inhibition receptor","KEGG: mmu04350","Secreted Signaling","Krn_Egfr"
"spi_Egfr","spi_Egfr","EGFR signaling pathway","spi","Egfr","spi","spi",NA,"inhibition receptor","PMID: 27449815","Secreted Signaling","spi_Egfr"
"vn_Egfr","vn_Egfr","EGFR signaling pathway","vn","Egfr","vn","vn",NA,"inhibition receptor","PMID: 27449815","Secreted Signaling","vn_Egfr"
"bnl_btl","bnl_btl","FGFR signaling pathway","bnl","btl","bnl","bnl",NA,"inhibition receptor","PMID: 27449815","Secreted Signaling","bnl_btl"
"dally_btl","dally_btl","FGFR signaling pathway","dally","btl","dally","dally",NA,"inhibition receptor","PMID: 27449815","Secreted Signaling","dally_btl"
"pyr_btl","pyr_btl","FGFR signaling pathway","pyr","btl","pyr","pyr",NA,"inhibition receptor","PMID: 27449815","Secreted Signaling","pyr_btl"
"ths_btl","ths_btl","FGFR signaling pathway","ths","btl","ths","ths",NA,"inhibition receptor","","Secreted Signaling","ths_btl"
"bnl_htl","bnl_htl","FGFR signaling pathway","bnl","htl","bnl","bnl",NA,"inhibition receptor","","Secreted Signaling","bnl_htl"
"pyr_htl","pyr_htl","FGFR signaling pathway","pyr","htl","pyr","pyr",NA,"inhibition receptor","","Secreted Signaling","pyr_htl"
"ths_htl","ths_htl","FGFR signaling pathway","ths","htl","ths","ths",NA,"inhibition receptor","","Secreted Signaling","ths_htl"
"dpp_dally","dpp_dally","HEDGEHOG signaling pathway","dpp","dally","dpp","dpp",NA,"inhibition receptor","","Secreted Signaling","dpp_dally"
"hh_dally","hh_dally","HEDGEHOG signaling pathway","hh","dally","hh","hh",NA,"inhibition receptor","","Secreted Signaling","hh_dally"
"upd1_dally","upd1_dally","HEDGEHOG signaling pathway","upd1","dally","upd1","upd1",NA,"inhibition receptor","","Secreted Signaling","upd1_dally"
"wg_dally","wg_dally","HEDGEHOG signaling pathway","wg","dally","wg","wg",NA,"inhibition receptor","","Secreted Signaling","wg_dally"
"hh_dlp","hh_dlp","HEDGEHOG signaling pathway","hh","dlp","hh","hh",NA,"inhibition receptor","","Secreted Signaling","hh_dlp"
"wg_dlp","wg_dlp","HEDGEHOG signaling pathway","wg","dlp","wg","wg",NA,"inhibition receptor","","Secreted Signaling","wg_dlp"
"hh_ptc","hh_ptc","HEDGEHOG signaling pathway","hh","ptc","hh","hh",NA,"inhibition receptor","","Secreted Signaling","hh_ptc"
