Symbol	Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	control_1	control_2	control_3	notch_1	notch_2	notch_3
Myo81F	FBgn0267431	12.2136899140488	-3.55692023455469	1.58537446835743	-2.24358364887756	0.0248592022779782	0.086837240809729	3.16728598910172	1.47934968094665	1.02947564092046	56.7494222695075	2.12217323667359	8.73443266714266
Pzl	FBgn0267430	0.466437687052375	2.11280026194384	3.9878156191916	0.52981392915356	0.596240946663203	NA	0	0.739674840473326	2.05895128184093	0	0	0
spok	FBgn0086917	4.47665226878147	2.51838011901745	3.27620500188671	0.768688197950725	0.442078432807537	0.617766648953982	20.5873589291612	2.21902452141998	0	4.05353016210768	0	0
Parp	FBgn0010247	3055.00652224794	0.803100705092543	0.146676418702242	5.47532256512797	4.36715360477391e-08	2.71677578901633e-06	4326.51266111295	3642.15891449066	3683.46384321342	2165.9362832862	2241.01493792731	2270.95249345709
Alg-2	FBgn0086378	8621.60255378526	-0.235575221657557	0.124085361816864	-1.89849324858512	0.0576311363092029	0.157229260201038	8038.57184034016	8237.01902351096	7481.199482569	9466.34410524213	8735.92612876682	9770.55474228246
Tim17b	FBgn0263977	20131.8719555471	-0.086379882857518	0.167645444100185	-0.515253386819729	0.606375967177735	0.752366820554028	21935.0391175239	18282.5430319792	18370.9928122257	18448.9669444728	22867.4777117762	20886.2121153049
CG41128	FBgn0069923	6891.58572826774	-0.619760971993279	0.218018622399497	-2.84269740434205	0.00447335191461718	0.0253119330969878	5944.99580154392	5335.2746243341	5019.72322512818	10324.3413228883	7881.7514010057	6843.42799470628
CG41099	FBgn0039955	4936.73980158276	0.908970669571128	0.247175241826215	3.6774341267165	0.00023559188956058	0.002829217977888	6557.07381893783	5016.4747680901	7755.04000305385	2803.69169545781	3827.33943234081	3660.81909161617
CG42402	FBgn0259821	24.4933777160938	-2.59914924822991	1.98632104662797	-1.30852424518297	0.190695556587926	0.351497408353283	0	20.7108955332531	0	62.1541291523178	48.8099844434925	15.2852571674997
Gfat1	FBgn0027341	21620.7498333654	0.463952209458488	0.210322313306282	2.20591054826816	0.0273902635172088	0.0927161719816938	22288.1915053088	29623.9773609567	23290.8569001845	15577.7164129798	17719.0854396061	21224.6713811567
lncRNA:CR41601	FBgn0085812	2.90142998730349	-0.596702123537256	1.96791129606469	-0.303215965440366	0.761725282742662	NA	3.16728598910172	3.69837420236663	0	4.05353016210768	2.12217323667359	4.36721633357133
CG40198	FBgn0058198	16.7506516464214	-0.583384442375654	1.82768062234579	-0.319193865297369	0.749579508635453	0.852519211564557	0	2.21902452141998	38.0905987140571	36.4817714589691	10.6108661833679	13.101649000714
CG12581	FBgn0037213	11079.070127444	0.0261249230783196	0.252928905547871	0.103289590494729	0.917733137012287	0.955972017721133	10433.8318695983	12127.7086844007	10977.2987591349	7908.43734627208	11173.2420910864	13853.9020141717
CR33294	FBgn0053294	6.54545431804354	-0.386741184549094	2.39915176250462	-0.161199133207543	0.871936563790388	0.929774550246081	0	11.8347974475732	5.14737820460231	14.8629439277282	7.42760632835755	0
beta-Man	FBgn0037215	7426.4807095446	0.512843404312674	0.170918229153034	3.00051906021968	0.00269519885131982	0.0174041205245155	8768.6312608281	7856.82615550767	9574.1234605603	5395.24864576532	6186.13498490351	6777.91974970271
CG14636	FBgn0037217	82.6465726050867	-0.822949144700293	1.09270795823327	-0.753128169791007	0.451372898130331	0.626906802958793	137.776940525925	13.3141471285199	27.7958423048525	224.295335636625	41.3823781151349	51.3147919194631
aux	FBgn0037218	2693.53508251385	0.410682709799325	0.255615147334244	1.60664465342625	0.108132341156513	0.242283125683667	3051.6800504995	2302.60777839346	3869.79893422002	2060.5444990714	2544.48571077163	2332.09352212709
CG31516	FBgn0051516	0.963400770762173	3.17471525431452	3.94582792758076	0.804575189942707	0.421064863861694	NA	4.75092898365258	0	1.02947564092046	0	0	0
DhpD	FBgn0261436	2027.69873330041	0.226941845053312	0.180217175832044	1.25926867961139	0.207933302024235	0.373282566027208	2030.2303190142	2275.97948413642	2254.55165361581	1867.32622801094	2120.05106343691	1618.05365158818
CG14641	FBgn0037220	5110.6142079063	0.0273777216493413	0.241478197452053	0.113375542546765	0.909732828893784	0.951771877171753	5650.43820455746	5139.26079160867	4688.23206875179	3703.57539144572	5592.98756525324	5889.19122582094
abs	FBgn0015331	2366.06914372873	0.428724942568454	0.302709282274113	1.4162926863281	0.156689828277174	0.30808180128	2890.94028655259	2465.3362432976	2789.87898689445	1286.32023810884	2550.85223048165	2213.08687703727
Gel	FBgn0010225	10798.387692663	-2.44438897507023	0.235316080253468	-10.3876835464762	2.82121716807307e-25	6.03740473967637e-22	3229.0480658892	3230.16002834702	3596.9878893761	22132.2746851079	19138.8193349407	13463.036152317
asRNA:CR46255	FBgn0267988	18.9790088933588	-0.0937921634009911	0.756548686793297	-0.123973731021249	0.901336074190251	0.947910109591954	22.171001923712	13.3141471285199	19.5600371774888	24.3211809726461	14.8552126567151	19.652473501071
CG14642	FBgn0037222	249.629602783947	-1.81249539701185	0.85695618797032	-2.11503857776521	0.0344266594728583	0.109274771984451	124.315975072242	138.319195168512	68.974867941671	918.800170077741	129.452567437089	117.914841006426
CG34305	FBgn0085334	1899.04004670362	-3.12840019021438	1.32093213658651	-2.36832771613737	NA	NA	425.999965534181	620.587191157121	122.507601269535	9113.68698113877	490.222017671599	621.236523450522
TwdlU	FBgn0037223	20.3283602522985	-2.24374806732646	2.21483575341397	-1.01305393136621	0.311034401285272	0.492026625333	7.91821497275429	0	13.383183331966	86.4753101249638	0	14.1934530841068
TwdlF	FBgn0037224	13.5117672070256	-7.44101166679987	3.91060293984521	-1.90277862039719	0.0570694380690441	0.15616782215849	0	0	0	81.0706032421536	0	0
TwdlG	FBgn0037225	6.68051081901186	-6.4264716388766	3.62785081369389	-1.77142665696695	0.0764897790149281	0.191269136587925	0	0	0	4.05353016210768	0	36.0295347519635
CG14644	FBgn0250821	0.717630233909875	-3.21561830245001	3.97788817158429	-0.808373228141634	0.418875758866535	NA	0	0	0	0	2.12217323667359	2.18360816678567
TwdlV	FBgn0037227	8.9164000143748	-6.84292768842875	3.91257306574557	-1.74895844076072	0.080298203467541	0.19726335931705	0	0	0	0	0	53.4984000862488
CG1092	FBgn0037228	351.36065074368	-1.45220793143157	1.16763713647496	-1.24371509441341	0.213604438614414	0.380674132773856	391.951641151338	59.9136620783394	112.21284486033	1336.31377677483	177.201465262244	30.5705143349993
CG9766	FBgn0037229	5.19182950393418	0.735028950824796	3.33070081373054	0.220682970921525	0.825339291815046	0.901964091759881	17.4200729400594	0	2.05895128184093	0	11.6719528017047	0
cpx	FBgn0041605	32.141224329866	-3.31532182259755	2.22967322236974	-1.48690928757442	0.137038770950827	0.282309366417761	6.33457197820344	0	11.3242320501251	167.545913367117	0	7.64262858374983
