"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff.pct","gene"
"DnaJ-1",6.69971554896913e-220,4.1228830260229,0.75,0.065,7.48157235353383e-216,0.685,"DnaJ-1"
"Hsp68",1.99368581129616e-209,7.47597965285366,0.551,0.004,2.22634894547443e-205,0.547,"Hsp68"
"RpS14a",3.18593874891824e-193,1.21828473512388,1,0.891,3.55773780091699e-189,0.109,"RpS14a"
"Hsp70Bc",1.02506508713184e-189,7.58958137229268,0.502,0.003,1.14469018280013e-185,0.499,"Hsp70Bc"
"Culd",3.60266678495322e-172,3.99902934433675,0.632,0.059,4.02309799875726e-168,0.573,"Culd"
"Ubi-p63E",2.05602287053087e-153,1.75165460783099,0.944,0.52,2.29596073952182e-149,0.424,"Ubi-p63E"
"CG2865",2.92055103467457e-150,2.93443374955,0.723,0.131,3.26137934042109e-146,0.592,"CG2865"
"Hsp26",6.18367909644853e-141,1.57575218671788,0.971,0.676,6.90531444700408e-137,0.295,"Hsp26"
"lncRNA:alphagamma-element",8.68555224859646e-131,7.1439988057891,0.358,0.003,9.69915619600766e-127,0.355,"lncRNA:alphagamma-element"
"Ubi-p5E",9.57049548490862e-125,1.44907414814155,0.934,0.625,1.06873723079975e-120,0.309,"Ubi-p5E"
"rpr",2.51642947574942e-118,2.68694071426434,0.667,0.148,2.81009679556938e-114,0.519,"rpr"
"Xrp1",9.01654035815378e-116,1.08812451863442,0.971,0.747,1.00687706179503e-111,0.224,"Xrp1"
"RpS14b",2.26802153001109e-114,1.19353103042818,0.944,0.668,2.53269964256338e-110,0.276,"RpS14b"
"pre-rRNA:CR45845",1.2612674339185e-107,1.92648411920733,0.806,0.347,1.40845734345679e-103,0.459,"pre-rRNA:CR45845"
"lncRNA:CR43314",1.82710519031671e-107,2.17902211528823,0.779,0.303,2.04032836602667e-103,0.476,"lncRNA:CR43314"
"mt:ND6",8.2977874592232e-106,3.5093153694821,0.434,0.04,9.26613925571454e-102,0.394,"mt:ND6"
"Mlc-c",4.10327168610551e-102,-0.85225981849157,0.841,0.986,4.58212349187403e-98,-0.145,"Mlc-c"
"Oda",1.12683277417003e-101,0.832664604847281,0.98,0.872,1.25833415891568e-97,0.108,"Oda"
"CG34296",4.56104017376932e-100,2.54451710821581,0.547,0.086,5.09331356204819e-96,0.461,"CG34296"
"Prosbeta4",5.81121815691884e-99,-0.822624126883129,0.841,0.983,6.48938731583127e-95,-0.142,"Prosbeta4"
"Trf2",1.0970737065716e-98,1.34388975625854,0.892,0.527,1.22510220812851e-94,0.365,"Trf2"
"Lk6",1.68611564655688e-98,0.897797186400183,0.978,0.811,1.88288534251007e-94,0.167,"Lk6"
"ETH",1.63950232517149e-97,3.86561050448543,0.407,0.039,1.830832246519e-93,0.368,"ETH"
"SkpA",1.21357682932992e-93,-0.933406217941858,0.76,0.969,1.35520124531273e-89,-0.209,"SkpA"
"Chchd2",4.67059859599573e-93,1.17414793028069,0.912,0.595,5.21565745214844e-89,0.317,"Chchd2"
"nahoda",3.54929468024096e-92,2.18169251173048,0.652,0.185,3.96349736942508e-88,0.467,"nahoda"
"CG45050",1.11299650452039e-91,0.896872002767755,0.966,0.784,1.24288319659792e-87,0.182,"CG45050"
"CG43143",6.43213239892353e-89,1.57612311754466,0.809,0.376,7.1827622498779e-85,0.433,"CG43143"
"cbt",7.24052907394163e-88,3.24273113901382,0.407,0.049,8.08549881687062e-84,0.358,"cbt"
"CG14961",9.70803600850327e-88,5.88243965130722,0.26,0.005,1.08409638106956e-83,0.255,"CG14961"
"Eb1",5.61567242840408e-87,-1.07421481358844,0.645,0.931,6.27102140079884e-83,-0.286,"Eb1"
"ken",1.32034157929439e-86,3.11369810544307,0.414,0.053,1.47442544159805e-82,0.361,"ken"
"lola",6.87500761281567e-86,0.894762861195708,0.951,0.755,7.67732100123126e-82,0.196,"lola"
"kek1",9.4361927705866e-84,1.60389491820198,0.794,0.335,1.05373964669141e-79,0.459,"kek1"
