"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
2.91112064500141e-106,-1.79364401477375,0.094,0.529,3.25084842427308e-102,"PC_0","Osi20"
2.46232414468524e-95,-0.989969079324341,0.18,0.614,2.74967737237e-91,"PC_0","ect"
2.20441351130386e-84,-0.811710225160574,0.319,0.695,2.46166856807302e-80,"PC_0","CG9095"
1.15852776838602e-78,-0.85672746108689,0.08,0.443,1.29372795895667e-74,"PC_0","CG15887"
2.91766879763657e-72,-0.633938076543286,0.178,0.544,3.25816074632076e-68,"PC_0","CG6026"
7.98902700718747e-68,-0.674189869897614,0.148,0.492,8.92134645892625e-64,"PC_0","CG15239"
1.0551379105156e-67,-0.941261905738267,0.553,0.775,1.17827250467276e-63,"PC_0","CG4702"
1.11710905384276e-56,-0.502358717174835,0.016,0.266,1.24747568042622e-52,"PC_0","Osi18"
1.161769337871e-55,-0.564772062606464,0.212,0.522,1.29734781960055e-51,"PC_0","CG33056"
5.56024000360208e-52,-0.639576749919577,0.152,0.445,6.20912001202244e-48,"PC_0","Dbi"
1.42953149471248e-43,-0.532822097620427,0.017,0.22,1.59635782014543e-39,"PC_0","Hsp68"
4.47099986172218e-32,-1.04260756622399,0.31,0.525,4.99276554558516e-28,"PC_0","chrb"
3.96030139641074e-304,1.74233333996018,0.809,0.005,4.42246856937188e-300,"PC_3","CG4408"
3.86118165713024e-284,2.60503579075509,0.891,0.017,4.31178155651734e-280,"PC_3","phm"
5.10845156024172e-279,1.84756768131289,0.791,0.008,5.70460785732193e-275,"PC_3","CG43156"
3.62829495336348e-278,3.09568624947311,0.927,0.023,4.051716974421e-274,"PC_3","spok"
5.25114102147211e-253,3.27043316939735,0.991,0.042,5.8639491786779e-249,"PC_3","Thor"
9.73678671744224e-252,1.127704173641,0.7,0.006,1.08730697273678e-247,"PC_3","Pgant4"
1.34272240830155e-246,1.48016965024377,0.755,0.012,1.49941811335034e-242,"PC_3","tok"
1.52504797373921e-246,1.31534659521093,0.636,0.002,1.70302107227457e-242,"PC_3","CG10026"
7.33221239396493e-243,1.21888443922309,0.627,0.002,8.18788158034064e-239,"PC_3","ouib"
6.49498482146597e-239,1.92800302793486,0.773,0.016,7.25294955013104e-235,"PC_3","nvd"
2.06307973814305e-238,1.18839759254046,0.682,0.007,2.30384114358435e-234,"PC_3","CG4822"
2.67291331499156e-199,2.69058023377614,0.909,0.053,2.98484229885108e-195,"PC_3","Hsp67Bc"
1.53573679120273e-192,1.04424245254489,0.591,0.009,1.71495727473609e-188,"PC_3","GILT2"
1.10495591643437e-189,0.755234532515799,0.509,0.003,1.23390427188227e-185,"PC_3","zyd"
2.66228100554701e-178,1.35857101539877,0.536,0.007,2.97296919889435e-174,"PC_3","CG14107"
2.11987632929261e-173,2.25151502784152,0.945,0.08,2.36726589692106e-169,"PC_3","Oatp74D"
1.98864041409659e-170,1.33203276694459,0.691,0.028,2.22071475042166e-166,"PC_3","pdm3"
3.75668895918516e-163,0.828028692265494,0.518,0.009,4.19509456072207e-159,"PC_3","sro"
1.01765252039556e-160,2.93591050651086,0.982,0.109,1.13641256952572e-156,"PC_3","ImpL2"
1.16760761554177e-149,1.94324267627919,0.882,0.085,1.3038674242755e-145,"PC_3","Atet"
1.52618237597722e-148,0.661625033393492,0.409,0.003,1.70428785925376e-144,"PC_3","CG7497"
2.81691260986431e-140,0.525266307920785,0.345,0,3.14564631143548e-136,"PC_3","dib"
2.97042679906877e-135,2.0948747029663,0.927,0.12,3.31707560652009e-131,"PC_3","CG32473"
1.48314912740228e-134,0.869393048959643,0.409,0.006,1.65623263057013e-130,"PC_3","cu"
9.58770348757841e-129,0.762054899410745,0.382,0.004,1.07065884845788e-124,"PC_3","Rbp6"
2.90708461573611e-126,0.520843967932915,0.355,0.003,3.24634139039251e-122,"PC_3","Mes2"
2.04067043608857e-120,1.85917922217234,0.836,0.103,2.2788166759801e-116,"PC_3","Start1"
6.81965237134898e-119,0.76277440851521,0.436,0.012,7.61550580308541e-115,"PC_3","stg"
2.10330265177365e-116,0.693811719889393,0.336,0.003,2.34875807123563e-112,"PC_3","Gagr"
1.05508009087079e-110,0.577634293438101,0.273,0,1.17820793747541e-106,"PC_3","CG15919"
7.35907883527949e-110,1.90271977023687,0.836,0.12,8.21788333535661e-106,"PC_3","Npc1a"
6.22178844590272e-109,1.28876558659517,0.782,0.095,6.94787115753957e-105,"PC_3","Tis11"
2.82462522362176e-108,1.01365593126928,0.455,0.018,3.15425898721842e-104,"PC_3","CG4666"
4.29480437711443e-107,1.11738429158632,0.636,0.054,4.79600804792369e-103,"PC_3","CG6310"
8.94817988085121e-103,1.6452410254346,0.709,0.08,9.99243247294655e-99,"PC_3","CG2611"
1.16657643778446e-101,1.81984045319871,0.8,0.112,1.30271590807391e-97,"PC_3","ImpE3"
1.21174220494719e-91,1.35321412266202,0.745,0.107,1.35315252026453e-87,"PC_3","SP1029"
9.34389091583833e-87,0.58163502617934,0.455,0.028,1.04343229857167e-82,"PC_3","lncRNA:CR33963"
8.27995363081719e-86,0.821022523906734,0.509,0.04,9.24622421953355e-82,"PC_3","salm"
6.41527405883009e-83,1.06887693698554,0.618,0.073,7.16393654149556e-79,"PC_3","CG10337"
3.70571806791528e-81,1.03911047269194,0.373,0.018,4.138175366441e-77,"PC_3","PGRP-SA"
1.28490095063511e-80,0.559255741956432,0.482,0.037,1.43484889157422e-76,"PC_3","side-IV"
4.27970395877558e-80,2.84655469934162,0.964,0.348,4.77914541076469e-76,"PC_3","sad"
7.50377804535656e-77,2.51154091340069,0.973,0.381,8.37946894324967e-73,"PC_3","chrb"
1.86454519050147e-76,0.918600255274796,0.582,0.069,2.08213761423299e-72,"PC_3","Nrt"
6.18413248247075e-76,0.547086447222641,0.355,0.017,6.90582074317509e-72,"PC_3","esg"
1.19159328966454e-73,0.75585152582963,0.591,0.072,1.33065222656839e-69,"PC_3","zfh2"
2.14456490335797e-71,1.17011906536785,0.727,0.139,2.39483562757985e-67,"PC_3","bbg"
3.47029866566072e-70,1.23992483241978,0.755,0.159,3.87528251994332e-66,"PC_3","rdgA"
2.55736121106538e-69,1.05648267424621,0.664,0.112,2.85580526439671e-65,"PC_3","Swip-1"
5.10993723494203e-69,1.14211683997646,0.609,0.09,5.70626691025976e-65,"PC_3","Gmap"
1.33126816383294e-61,0.987266703789014,0.509,0.065,1.48662715855224e-57,"PC_3","CG4096"
3.44242056052237e-61,0.664682424048477,0.4,0.035,3.84415103993533e-57,"PC_3","lbm"
5.66137964266604e-60,2.06414453270601,0.927,0.437,6.32206264696517e-56,"PC_3","Fkbp59"
1.18916061135778e-59,1.37650907452483,0.818,0.243,1.32793565470324e-55,"PC_3","corto"
2.0974417227527e-59,1.42535290273514,0.7,0.162,2.34221317179794e-55,"PC_3","Eip78C"
7.65650369841636e-58,1.127515382606,0.727,0.177,8.55001768002155e-54,"PC_3","Stat92E"
3.32111231536472e-57,1.20923672804876,0.536,0.079,3.70868612256778e-53,"PC_3","lncRNA:CR43432"
9.10075707682829e-57,2.1443863046969,1,0.678,1.01628154276942e-52,"PC_3","Hsp23"
4.57090744306462e-53,0.756209414291547,0.5,0.074,5.10433234167027e-49,"PC_3","Toll-7"
6.50743747276039e-53,0.670401088384195,0.573,0.1,7.26685542583153e-49,"PC_3","CG9171"
6.44700506253046e-52,1.12338925697095,0.664,0.16,7.19937055332777e-48,"PC_3","Tailor"
7.13351982772836e-52,0.888168304036595,0.564,0.102,7.96600159162426e-48,"PC_3","CG10904"
1.62976772218321e-51,0.510835142997218,0.436,0.054,1.81996161536199e-47,"PC_3","tsl"
1.33633480381606e-50,0.881862109759836,0.627,0.137,1.49228507542139e-46,"PC_3","Hs6st"
2.83673377395515e-48,0.832330941682569,0.627,0.141,3.16778060537572e-44,"PC_3","Traf4"
3.84641880760496e-48,0.99099692891939,0.618,0.14,4.29529588245246e-44,"PC_3","stai"
5.9208535829263e-48,1.4048184294598,0.755,0.262,6.6118171960538e-44,"PC_3","Snp"
6.09798193732309e-48,1.4706716670815,0.991,0.699,6.80961642940869e-44,"PC_3","scyl"
2.82792586498133e-47,0.706123870702915,0.455,0.066,3.15794481342465e-43,"PC_3","RhoGEF64C"
2.92918271355894e-47,-1.42147701350485,0.764,1,3.27101833623127e-43,"PC_3","Gasp"
1.9410661044139e-46,0.890293824626269,0.6,0.131,2.16758851879901e-42,"PC_3","CG3655"
5.17684109358283e-46,1.76749847025274,0.818,0.399,5.78097844920395e-42,"PC_3","CG32280"
5.71043270991397e-46,-1.09997811268003,0.682,0.999,6.37684020716093e-42,"PC_3","pio"
1.69213628672812e-45,0.777290374530671,0.564,0.117,1.8896085913893e-41,"PC_3","or"
3.90993063064429e-43,-1.26097963609305,0.264,0.928,4.36621953524048e-39,"PC_3","CAH2"
1.65541465157453e-42,0.832960527860278,0.582,0.139,1.84860154141328e-38,"PC_3","Ilp6"
1.72073543878055e-42,0.865366418488269,0.664,0.194,1.92154526448624e-38,"PC_3","ref(2)P"
2.1576115635647e-41,1.72685718050858,0.855,0.47,2.4094048330327e-37,"PC_3","CG4747"
2.42470169534862e-41,1.07698400516956,0.927,0.608,2.7076643831958e-37,"PC_3","CG11486"
6.89506233821951e-40,-1.08254939510171,0.609,0.996,7.69971611308973e-36,"PC_3","CG12009"
1.10488862822377e-39,1.53390313589258,0.827,0.422,1.23382913113748e-35,"PC_3","CG5532"
4.56540579001415e-39,0.541218475069317,0.464,0.085,5.0981886457088e-35,"PC_3","CG4586"
2.5263779338281e-38,-1.0340614559743,0.227,0.853,2.82120623870584e-34,"PC_3","mirr"
3.6228603981651e-38,0.780607147796302,0.7,0.234,4.04564820663097e-34,"PC_3","jim"
2.0171299812634e-37,-1.03415076647785,0.564,0.97,2.25252905007684e-33,"PC_3","dpy"
2.03071500575673e-37,-0.960844054862537,0.318,0.886,2.26769944692854e-33,"PC_3","haf"
2.62244991594361e-37,-0.937294966790127,0.245,0.868,2.92848982113423e-33,"PC_3","form3"
4.779502922106e-37,-0.993728189396411,0.545,0.971,5.33727091311577e-33,"PC_3","sano"
6.82804402551298e-37,0.599619355916051,0.455,0.086,7.62487676329034e-33,"PC_3","Spn27A"
7.9730022573233e-37,-0.944554335243775,0.155,0.852,8.90345162075293e-33,"PC_3","CG9782"
9.97381012665933e-37,0.939606390738768,0.273,0.028,1.11377537684405e-32,"PC_3","Pvf3"
1.6351604131191e-36,0.738150172570099,0.9,0.423,1.8259836333301e-32,"PC_3","Inx3"
4.90334846127407e-36,-0.943304695748051,0.382,0.921,5.47556922670475e-32,"PC_3","peb"
6.01792127586082e-36,-1.15169875736735,0.373,0.922,6.72021268875378e-32,"PC_3","CG7220"
9.52054490695995e-36,1.26432242024765,0.973,0.742,1.06315924976022e-31,"PC_3","cer"
7.11737962313177e-35,0.835365639880233,0.582,0.172,7.94797782515125e-31,"PC_3","mub"
7.2984389196223e-35,0.531808007714317,0.3,0.038,8.15016674154223e-31,"PC_3","CG12290"
9.78147948961497e-35,0.770237564951052,0.6,0.184,1.0922978146053e-30,"PC_3","MAPk-Ak2"
2.86449444917068e-33,1.49069107403832,0.818,0.543,3.1987809513889e-29,"PC_3","MSBP"
3.05186831411294e-33,0.767367967891189,0.482,0.11,3.40802134636992e-29,"PC_3","CREG"
5.02982325827143e-33,0.541294350481926,0.473,0.102,5.61680363251171e-29,"PC_3","robo2"
5.84313219147744e-33,-0.974178774383078,0.373,0.91,6.52502571822286e-29,"PC_3","uif"
7.74335126418195e-33,-0.777857792650155,0.745,0.998,8.64700035671198e-29,"PC_3","Fas3"
4.41183404131303e-32,-0.936529749983219,0.264,0.824,4.92669507393426e-28,"PC_3","CG8854"
1.12381227586541e-31,-0.795608422726101,0.736,1,1.2549611684589e-27,"PC_3","Act42A"
1.42212346701386e-31,0.780682764698285,0.591,0.188,1.58808527561437e-27,"PC_3","CG17754"
2.24716992482449e-31,-0.788421693422172,0.482,0.923,2.5094146550515e-27,"PC_3","knk"
2.86687558946027e-31,-0.758490551702825,0.164,0.78,3.20143997075029e-27,"PC_3","CG18507"
9.14387491811613e-30,-0.728173772711396,0.691,0.984,1.02109651210603e-25,"PC_3","CG31997"
1.20982063610553e-29,-0.689794382459898,0.718,0.987,1.35100670433904e-25,"PC_3","SsRbeta"
4.52613708248252e-29,-0.919011751556703,0.218,0.797,5.05433728000823e-25,"PC_3","wun"
9.96459709250553e-29,-0.814300929347644,0.145,0.716,1.11274655732009e-24,"PC_3","Sema1a"
1.77983160305499e-28,0.904042412515693,0.909,0.601,1.98753795113151e-24,"PC_3","sbb"
2.15867805488709e-28,-0.767032316855444,0.436,0.915,2.41059578389241e-24,"PC_3","nw"
3.45297593389137e-28,0.634694944418082,0.545,0.17,3.8559382253765e-24,"PC_3","CG42394"
3.82109170956006e-28,-1.77123636084105,0.264,0.823,4.26701311206571e-24,"PC_3","Osi15"
4.73890117926032e-28,0.805107809785288,0.936,0.721,5.29193094687999e-24,"PC_3","br"
1.28276762519196e-27,-0.777012314118398,0.218,0.751,1.43246660705186e-23,"PC_3","bs"
7.62565964468128e-27,0.544124261659854,0.609,0.211,8.51557412521558e-23,"PC_3","CG5112"
2.07593136465268e-26,-1.68311049104456,0.282,0.816,2.31819255490764e-22,"PC_3","Cpr51A"
2.10522820681593e-26,-0.741714959591326,0.236,0.796,2.35090833855135e-22,"PC_3","ovo"
4.29785111961081e-26,0.736528653298526,0.636,0.255,4.7994103452694e-22,"PC_3","l(3)neo38"
7.54665832735313e-26,-0.741993875439701,0.227,0.755,8.42735335415525e-22,"PC_3","path"
7.96307800953538e-26,0.762266991134973,0.373,0.08,8.89236921324816e-22,"PC_3","hdc"
1.14739248872116e-25,-0.730902334396829,0.3,0.802,1.28129319215492e-21,"PC_3","CG11905"
1.47666487777657e-25,-0.723204645306984,0.391,0.832,1.6489916690131e-21,"PC_3","btsz"
2.90700378898833e-25,-0.694349938753569,0.582,0.928,3.24625113116327e-21,"PC_3","ich"
3.73615340281525e-25,-0.701840125037418,0.3,0.84,4.17216250492379e-21,"PC_3","exp"
5.55660212307428e-25,-0.753363172968037,0.127,0.683,6.20505759083704e-21,"PC_3","CG17121"
7.21876485220805e-25,-0.594323195595144,0.727,0.976,8.06119471046072e-21,"PC_3","Argk"
9.93996941244108e-25,-0.694406930176376,0.255,0.807,1.10999638428729e-20,"PC_3","CG5065"
1.27019961680829e-24,0.757614676448011,0.491,0.153,1.41843191208982e-20,"PC_3","Npc2a"
3.35033443655498e-24,0.758771123769995,0.755,0.428,3.74131846530095e-20,"PC_3","E23"
3.67392556351658e-24,-0.756321371144695,0.155,0.689,4.10267267677897e-20,"PC_3","lncRNA:CR44811"
5.72604091122511e-24,1.19928575726942,0.718,0.392,6.39426988556508e-20,"PC_3","lncRNA:CR31044"
