"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"dsx-c73A",0,1.74553892726542,0.996,0.186,0,"ASP","dsx-c73A"
"CG33970",0,1.29249389764353,0.901,0.047,0,"ASP","CG33970"
"cpo",0,1.18773870424676,0.89,0.054,0,"ASP","cpo"
"CG10737",0,1.1239489298328,0.883,0.079,0,"ASP","CG10737"
"CG7724",0,1.02897965512002,0.791,0.064,0,"ASP","CG7724"
"CG3630",0,1.01822230291411,0.795,0.028,0,"ASP","CG3630"
"CG9747",0,0.945338310491785,0.806,0.085,0,"ASP","CG9747"
"sha",0,0.917124113232839,0.755,0.014,0,"ASP","sha"
"CG13361",0,0.852086936441701,0.568,0.008,0,"ASP","CG13361"
"CG12017",0,0.80954332176137,0.689,0.02,0,"ASP","CG12017"
"CG5639",0,0.786893457825016,0.722,0.07,0,"ASP","CG5639"
"pip",0,0.762237689154976,0.692,0.062,0,"ASP","pip"
"CG30460",0,0.751391863404026,0.667,0.034,0,"ASP","CG30460"
"Cad89D",0,0.552938414726051,0.531,0.004,0,"ASP","Cad89D"
"CG30427",0,0.546488481550513,0.52,0.026,0,"ASP","CG30427"
"betaTub97EF",2.95607016506326e-298,1.03681504258316,0.875,0.13,3.30104355332615e-294,"ASP","betaTub97EF"
"sprt",3.34343542032918e-294,0.827366071883335,0.733,0.08,3.7336143338816e-290,"ASP","sprt"
"qtc",1.41601935437487e-286,1.00601835536113,0.857,0.118,1.58126881303042e-282,"ASP","qtc"
"bol",2.12253746080829e-280,0.885956343813543,0.784,0.102,2.37023758248462e-276,"ASP","bol"
"rho",1.83095360163625e-262,0.986334556247051,0.832,0.127,2.0446258869472e-258,"ASP","rho"
"Nost",4.50074591049697e-243,0.916831897046485,0.835,0.146,5.02598295825196e-239,"ASP","Nost"
"qua",9.37411176798627e-239,0.569445204283639,0.553,0.052,1.04680706113103e-234,"ASP","qua"
"CG34115",8.51360026487043e-238,0.876193486131271,0.773,0.121,9.50713741578081e-234,"ASP","CG34115"
"spz6",2.55511026054924e-226,0.771830903518176,0.711,0.103,2.85329162795534e-222,"ASP","spz6"
"CG15097",1.40863175834668e-212,0.586893674491835,0.608,0.075,1.57301908454574e-208,"ASP","CG15097"
"slbo",2.11721666369904e-210,0.798409306043933,0.733,0.112,2.36429584835272e-206,"ASP","slbo"
"CG17786",4.33771124824715e-202,0.640777353785806,0.63,0.084,4.84392215091759e-198,"ASP","CG17786"
"tyn",1.56858208091198e-198,0.999529977945074,0.897,0.225,1.7516356097544e-194,"ASP","tyn"
"CG2663",3.05616748710628e-196,1.19365307592289,0.916,0.21,3.41282223285159e-192,"ASP","CG2663"
"CG9328",4.21475016411374e-184,0.84149818448426,0.791,0.174,4.70661150826581e-180,"ASP","CG9328"
"lncRNA:CR43314",4.72849133526636e-183,1.34983194740906,0.952,0.381,5.28030627409195e-179,"ASP","lncRNA:CR43314"
"CG4702",1.3740442419316e-182,1.19312820017858,0.923,0.268,1.53439520496502e-178,"ASP","CG4702"
"CG34461",1.23908865350821e-175,0.573311558529207,0.37,0.031,1.38369029937262e-171,"ASP","CG34461"
"Cad88C",3.08818086814194e-170,0.710495689796508,0.736,0.131,3.44857157545411e-166,"ASP","Cad88C"
"CG13737",2.46747802017322e-165,1.00428470653318,0.875,0.219,2.75543270512743e-161,"ASP","CG13737"
"fus",2.03920630952378e-159,0.899732629403811,0.861,0.271,2.27718168584521e-155,"ASP","fus"
"CG9815",2.28632384436288e-159,0.528873057851207,0.542,0.078,2.55313783700002e-155,"ASP","CG9815"
"ken",1.32858856855285e-157,0.510751754581203,0.56,0.083,1.48363485450297e-153,"ASP","ken"
"CG32137",1.0097220888567e-154,0.61168187543885,0.656,0.122,1.12755665662628e-150,"ASP","CG32137"
"svp",7.1257577994501e-151,0.585133658524286,0.652,0.117,7.95733373464593e-147,"ASP","svp"
"asRNA:CR45185",8.8390982364297e-145,0.648619502241213,0.674,0.138,9.87062100062104e-141,"ASP","asRNA:CR45185"
"CG8180",5.78310438306087e-144,0.825479729569021,0.875,0.296,6.45799266456407e-140,"ASP","CG8180"
"CG33056",2.51543211845978e-142,0.644512390470229,0.707,0.153,2.80898304668403e-138,"ASP","CG33056"
"CRMP",6.8094679954739e-140,0.612954386084942,0.674,0.144,7.60413291054571e-136,"ASP","CRMP"
"Ldh",1.91685539244215e-138,0.906300647899357,0.905,0.331,2.14055241674015e-134,"ASP","Ldh"
"CG31637",1.28475989568831e-137,0.774297032959929,0.842,0.228,1.43469137551514e-133,"ASP","CG31637"
"CG13003",2.35430414795452e-135,0.769743237873594,0.736,0.194,2.62905144202082e-131,"ASP","CG13003"
"jar",3.88252956266318e-135,0.684189592772586,0.747,0.189,4.33562076262597e-131,"ASP","jar"
"Fas2",8.85552984192628e-135,0.600057178802274,1,0.956,9.88897017447908e-131,"ASP","Fas2"
"CG16798",1.45126939806175e-133,0.874963585368709,0.886,0.259,1.62063253681556e-129,"ASP","CG16798"
"CG3823",3.23736987792925e-133,0.816789294743094,0.864,0.312,3.61517094268359e-129,"ASP","CG3823"
"Nrt",6.90668277252199e-133,0.64182367043092,0.689,0.145,7.71269265207531e-129,"ASP","Nrt"
"klu",2.249091393205e-132,0.533579306249623,0.604,0.113,2.51156035879202e-128,"ASP","klu"
"Dic1",2.67730444451638e-128,0.53498020576258,0.623,0.129,2.98974587319145e-124,"ASP","Dic1"
"CG4199",9.28692455784693e-127,0.664348932331499,0.725,0.193,1.03707086537477e-122,"ASP","CG4199"
"ct",2.28819782515268e-123,0.8566912856249,1,0.624,2.555230511348e-119,"ASP","ct"
"Antp",4.25169667889528e-121,0.907164758600673,0.967,0.418,4.74786968132236e-117,"ASP","Antp"
"CG34232",6.18572628905776e-118,0.795637464894116,0.773,0.193,6.9076005469908e-114,"ASP","CG34232"
"CG34398",1.62159477094758e-117,0.680663373924429,0.762,0.223,1.81083488071716e-113,"ASP","CG34398"
"Tmhs",8.39112530346157e-117,0.593268620706407,0.601,0.136,9.37036962637554e-113,"ASP","Tmhs"
"Shroom",1.00805087594087e-116,0.606780098712124,0.663,0.165,1.12569041316317e-112,"ASP","Shroom"
