"","ASP","DB","DT","SB","PC","TC","VB","LT","GB"
"Aef1",-0.58198959703368,0.739807361282295,-0.071031755699545,-0.513350557154152,0.472871554798781,-1.64885164324918,0.55279639948904,0.2227527789404,0.826995458626039
"E2f1",1.20721942557023,-1.20772051344293,-0.208668724624263,-0.075325390839748,-0.58936519952968,0.82831345684905,-0.468752620799848,-0.404454111554357,0.918753678371556
"HDAC1",1.02663240760707,-1.91356863435247,2.26369679520413,0.923083900190587,-1.54055558206049,0.730484770353338,-1.55839354706452,-1.92647620595832,1.99509609608069
"Psi",1.96582701335427,-1.47751091589183,0.056371287762937,0.665729178797338,-0.819880031645785,0.857818137932526,-0.744860507233816,-1.54712600918062,1.04363184610498
"Abl",1.06176305026507,-1.08404428486615,0.449106449350392,0.284498142559123,-0.0838694469207499,0.784908242544198,-0.153535055660008,-1.22734844359857,-0.0314786536733198
"Mnt_extended",0.935253227039846,-0.52392089499547,0.354570932987162,-0.289417039454401,0.125135929168024,0.458075053346786,0.13535727849797,-1.18075107440693,-0.0143034121829899
"kay_extended",1.78403594125564,-1.41287423396264,-0.555797595206481,0.675462220231815,-0.707650782796421,0.955688127055579,-0.129319845608729,-0.803555175581727,0.19401134461294
"kay",1.76084311785461,-1.32743495942072,-0.492083239453361,0.589001690308459,-0.727420091868249,0.913494381307768,-0.208253909149707,-0.74433450984567,0.23618752026687
"cnc_extended",0.875520781393481,-0.946442884091753,-0.30209279978605,0.384048308033926,0.146824147292631,0.554928498691419,-0.108863710555778,-0.669880057895899,0.0659577169180201
"cnc",0.821255677394218,-0.883289084912646,-0.347207468299352,0.414639923653289,0.336868812497469,0.457630204264099,-0.068868776611104,-0.699485778106606,-0.0315435098793597
"Trf2",1.0304683168834,-1.2960061393127,0.657555900093063,0.416563672937982,-1.78438852508563,0.883812263536832,-0.597812488292077,-0.725335670191726,1.41514266943086
"crc_extended",-0.077019277244561,-0.542897633890252,-0.144533113418227,0.482351366500438,-0.36058402642821,0.382411253635335,-0.418424713149669,-0.933356328379944,1.61205247237509
"CrebB_extended",0.442178310894839,-0.339537309727118,-0.298210135818891,0.00722362049063602,-0.25062912776029,0.19000799114958,0.378040438183665,-0.92626398408541,0.79719019667298
"CrebB",0.38025381741027,-0.062448943514321,-0.309060605052991,-0.04281676308807,-0.12368588903749,0.048304368722686,0.549394593421402,-1.0631940320174,0.6232534531559
"pnt_extended",0.648358066502004,-0.457202406756534,0.440389502723962,0.203210911802034,-0.42307118569376,0.195186838036729,-0.665322182360333,-0.622345468658214,0.680795924404111
"pnt",0.447754259130132,-0.186144512702985,0.441860174487892,0.2706014531334,-0.30995214898142,0.107370849508252,-0.552156192867926,-0.608659290295436,0.389325408588089
"kni",0.0660950022948379,-0.189352635554318,-0.151118538731776,-0.354421211227907,0.36567705323386,-0.253160515677904,-0.578912798356341,0.171588779880893,0.923604864138654
"bs",0.384228332523583,-0.418653897809185,-0.060014784850818,0.203090071109339,0.00985451648731983,0.248705967678979,-0.568053855049608,-0.391349670055811,0.5921933199662
