"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","diff.pct","gene","threshold"
"E(spl)mbeta-HLH",0,1.69220771198222,0.916,0.597,0,0.319,"E(spl)mbeta-HLH","Up"
"RpS30",0,1.32926006690192,1,0.96,0,0.04,"RpS30","N.S."
"Hsp26",0,1.19061380608586,0.964,0.845,0,0.119,"Hsp26","N.S."
"Hsp68",0,1.15016515463296,0.516,0.008,0,0.508,"Hsp68","Up"
"RpS14a",0,1.11200485436551,0.998,0.905,0,0.093,"RpS14a","N.S."
"E(spl)malpha-BFM",0,1.05563164419211,0.549,0.212,0,0.337,"E(spl)malpha-BFM","Up"
"RpS13",0,1.01435903837539,1,0.995,0,0.005,"RpS13","N.S."
"mt:lrRNA",0,1.00718488364089,1,1,0,0,"mt:lrRNA","N.S."
"E(spl)m2-BFM",0,1.00029728859984,0.506,0.145,0,0.361,"E(spl)m2-BFM","Up"
"E(spl)m7-HLH",0,0.982126153501712,0.442,0.117,0,0.325,"E(spl)m7-HLH","Up"
"E(spl)m3-HLH",0,0.867839646512753,0.511,0.107,0,0.404,"E(spl)m3-HLH","Up"
"RpS19a",0,0.857701386778838,0.999,0.961,0,0.038,"RpS19a","N.S."
"RpL29",0,0.797692085335858,1,0.984,0,0.016,"RpL29","N.S."
"RpS9",0,0.789154216653286,1,0.999,0,0.001,"RpS9","N.S."
"RpS23",0,0.786155735734544,1,0.999,0,0.001,"RpS23","N.S."
"RpL36",0,0.781227835972369,1,0.999,0,0.001,"RpL36","N.S."
"RpS14b",0,0.771609840912536,0.95,0.711,0,0.239,"RpS14b","Up"
"RpL24",0,0.756787171793311,1,0.999,0,0.001,"RpL24","N.S."
"RpL13",0,0.752743685747902,1,0.999,0,0.001,"RpL13","N.S."
"RpL27",0,0.751575779138749,1,1,0,0,"RpL27","N.S."
"RpS17",0,0.727999861480551,0.999,0.989,0,0.01,"RpS17","N.S."
"RpL32",0,0.702555394140021,1,0.999,0,0.001,"RpL32","N.S."
"RpS24",0,0.689194798008844,1,0.997,0,0.003,"RpS24","N.S."
"lncRNA:Hsromega",0,0.682609199144864,0.939,0.971,0,-0.032,"lncRNA:Hsromega","N.S."
"RpS16",0,0.675572818233913,1,0.999,0,0.001,"RpS16","N.S."
"DnaJ-1",0,0.668877743564491,0.562,0.086,0,0.476,"DnaJ-1","Up"
"RpS5a",0,0.664223455868833,0.999,0.984,0,0.015,"RpS5a","N.S."
"pre-rRNA:CR45845",0,0.659308156942746,0.599,0.32,0,0.279,"pre-rRNA:CR45845","Up"
"RpL37A",0,0.648250605191518,1,1,0,0,"RpL37A","N.S."
"Ubi-p5E",0,0.609815043817726,0.876,0.694,0,0.182,"Ubi-p5E","N.S."
"Ubi-p63E",0,0.605712652850825,0.83,0.568,0,0.262,"Ubi-p63E","Up"
"RpL18",0,0.597942818093025,1,0.999,0,0.001,"RpL18","N.S."
"RpL11",0,0.58321849670278,0.999,0.987,0,0.012,"RpL11","N.S."
"Oda",0,0.575400744158388,0.977,0.914,0,0.0629999999999999,"Oda","N.S."
"RpL31",0,0.567828950624366,1,1,0,0,"RpL31","N.S."
"Hsc70-4",0,0.543382384735524,1,0.994,0,0.00600000000000001,"Hsc70-4","N.S."
"mt:Cyt-b",0,0.540107480599719,0.964,0.886,0,0.078,"mt:Cyt-b","N.S."
"mt:ATPase6",0,0.532486613401785,0.991,0.959,0,0.032,"mt:ATPase6","N.S."
"Chchd2",0,0.516010978518242,0.845,0.565,0,0.28,"Chchd2","Up"
"RpL3",0,0.515744348227217,1,0.999,0,0.001,"RpL3","N.S."
"RpS26",0,0.486896975474084,1,1,0,0,"RpS26","N.S."
"CG2865",0,0.477827294436215,0.479,0.128,0,0.351,"CG2865","N.S."
"Xrp1",0,0.46607351651121,0.875,0.755,0,0.12,"Xrp1","N.S."
"RpL23A",0,0.465823616726611,1,0.999,0,0.001,"RpL23A","N.S."
"RpS18",0,0.464963792004829,1,1,0,0,"RpS18","N.S."
"RpS3",0,0.462877172944577,1,1,0,0,"RpS3","N.S."
"RpL28",0,0.456600397625832,1,1,0,0,"RpL28","N.S."
"CG6770",0,0.454295151848351,0.999,0.998,0,0.001,"CG6770","N.S."
"CCT3",0,0.45089456347138,0.832,0.599,0,0.233,"CCT3","N.S."
"RpL19",0,0.444384452085144,1,1,0,0,"RpL19","N.S."
"RpL12",0,0.438278107131285,1,1,0,0,"RpL12","N.S."
"CG34383",0,0.433313421159706,0.513,0.164,0,0.349,"CG34383","N.S."
"RpL13A",0,0.423991349800473,1,1,0,0,"RpL13A","N.S."
"RpL15",0,0.416895161917357,1,0.999,0,0.001,"RpL15","N.S."
"RpL4",0,0.414229983374734,1,1,0,0,"RpL4","N.S."
"RpL8",0,0.40850112999108,1,0.999,0,0.001,"RpL8","N.S."
"RpL30",0,0.403218262678023,0.994,0.996,0,-0.002,"RpL30","N.S."
"RpL34b",0,0.392906939605829,1,1,0,0,"RpL34b","N.S."
"RpS28b",0,0.374293067574834,1,1,0,0,"RpS28b","N.S."
"RpL18A",0,0.373173149513851,1,1,0,0,"RpL18A","N.S."
"RpL36A",0,0.361788074444726,1,1,0,0,"RpL36A","N.S."
"RpL35A",0,0.340222261139241,0.998,0.999,0,-0.001,"RpL35A","N.S."
"RpS6",0,0.334847382503916,0.999,0.997,0,0.002,"RpS6","N.S."
