"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","enrichment_factor"
"GO:0031057","GO:0031057","negative regulation of histone modification","10/1975","12/12275",5.49610976812657e-07,3.29423793378563e-06,1.60571321598621e-06,"FRG1/CoRest/Kdm2/sktl/ash1/PR-Set7/ash2/ctrip/HDAC1/hyd",10,5.17932489451477
"GO:0002052","GO:0002052","positive regulation of neuroblast proliferation","12/1975","16/12275",2.8125264953433e-07,1.76640889742334e-06,8.61002200945709e-07,"E(spl)mbeta-HLH/E(spl)m3-HLH/bun/dpn/zld/E(spl)mgamma-HLH/klu/Fmr1/babo/aPKC/daw/Dap160",12,4.66139240506329
"GO:0035089","GO:0035089","establishment of apical/basal cell polarity","9/1975","12/12275",9.81923122737402e-06,4.6256280438757e-05,2.25467383703893e-05,"yrt/ft/fz/scrib/aPKC/TBCB/fj/DCTN1-p150/baz",9,4.66139240506329
"GO:0035160","GO:0035160","maintenance of epithelial integrity, open tracheal system","9/1975","12/12275",9.81923122737402e-06,4.6256280438757e-05,2.25467383703893e-05,"Mkp3/rho/mew/cv-c/peb/shg/Lac/rhea/Egfr",9,4.66139240506329
"GO:0061162","GO:0061162","establishment of monopolar cell polarity","11/1975","15/12275",1.32338487458404e-06,7.37972648631681e-06,3.59710639839091e-06,"yrt/ft/fz/scrib/aPKC/TBCB/Rac1/fj/DCTN1-p150/mwh/baz",11,4.557805907173
"GO:0061339","GO:0061339","establishment or maintenance of monopolar cell polarity","11/1975","15/12275",1.32338487458404e-06,7.37972648631681e-06,3.59710639839091e-06,"yrt/ft/fz/scrib/aPKC/TBCB/Rac1/fj/DCTN1-p150/mwh/baz",11,4.557805907173
"GO:0030859","GO:0030859","polarized epithelial cell differentiation","8/1975","11/12275",4.62132118018645e-05,0.000192254963383514,9.37110013753916e-05,"yrt/ft/fz/par-1/scrib/aPKC/fj/DCTN1-p150",8,4.52013808975834
"GO:0090254","GO:0090254","cell elongation involved in imaginal disc-derived wing morphogenesis","8/1975","11/12275",4.62132118018645e-05,0.000192254963383514,9.37110013753916e-05,"arm/Rho1/sqh/arr/pan/shg/tkv/Dad",8,4.52013808975834
"GO:0007464","GO:0007464","R3/R4 cell fate commitment","10/1975","14/12275",6.09155966237722e-06,3.01752001832191e-05,1.4708323655767e-05,"kay/Jra/fz/grh/nej/Rala/bdg/scrib/aop/lola",10,4.43942133815552
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","29/1975","41/12275",8.78126410142205e-15,1.68775896029332e-13,8.22665794764803e-14,"puc/kay/spri/Pvf1/Pvr/Gli/slbo/kuz/hep/ttk/tsl/par-1/dlg1/Cbl/aPKC/aop/peb/shg/Catsup/Rac1/Diap1/ci/bsk/Hrs/Rab35/Egfr/kis/Tie/mbc",29,4.39610991046619
"GO:2000179","GO:2000179","positive regulation of neural precursor cell proliferation","12/1975","17/12275",8.15520747094691e-07,4.71171605986772e-06,2.29663579236665e-06,"E(spl)mbeta-HLH/E(spl)m3-HLH/bun/dpn/zld/E(spl)mgamma-HLH/klu/Fmr1/babo/aPKC/daw/Dap160",12,4.38719285182427
"GO:0030858","GO:0030858","positive regulation of epithelial cell differentiation","26/1975","37/12275",2.80622163740854e-13,4.28060157706287e-12,2.0864972909721e-12,"puc/kay/spri/Pvf1/Pvr/Gli/slbo/kuz/hep/ttk/tsl/Cbl/aop/peb/shg/Catsup/Rac1/Diap1/ci/bsk/Hrs/Rab35/Egfr/kis/Tie/mbc",26,4.3674307218611
"GO:2000648","GO:2000648","positive regulation of stem cell proliferation","14/1975","20/12275",1.10345040332814e-07,7.68417273621991e-07,3.7455028945921e-07,"E(spl)mbeta-HLH/E(spl)m3-HLH/bun/dpn/zld/E(spl)mgamma-HLH/klu/Fmr1/brm/babo/aPKC/mtd/daw/Dap160",14,4.35063291139241
"GO:0045198","GO:0045198","establishment of epithelial cell apical/basal polarity","7/1975","10/12275",0.000211156219106208,0.000757168382690545,0.000369067232923263,"yrt/ft/fz/scrib/aPKC/fj/DCTN1-p150",7,4.35063291139241
"GO:0090136","GO:0090136","epithelial cell-cell adhesion","7/1975","10/12275",0.000211156219106208,0.000757168382690545,0.000369067232923263,"Src64B/Src42A/RanBPM/peb/Rab4/baz/egh",7,4.35063291139241
