,source,target,coef_mean,coef_abs,p,-logp
0,schlank,14-3-3epsilon,0.5754719,0.5754719,1.5217229180099939e-43,42.81766441861289
1,E(spl)m5-HLH,18w,-0.08919277,0.08919277,0.03482734236385046,1.4580796648111083
2,slp1,18w,-0.044627536,0.044627536,7.051391405485126e-07,6.151725178029729
3,fd19B,18w,0.036653124,0.036653124,9.939783970330653e-11,10.002623054386676
4,h,18w,0.26655886,0.26655886,5.526604489230027e-13,12.25754161453729
5,ato,18w,0.0,0.0,,-0.0
6,sc,18w,-0.5041308,0.5041308,1.3692565494816138e-11,10.863515173059815
7,ems,2mit,-0.00113947,0.00113947,9.7279609264316e-11,10.011978182465793
8,pb,2mit,-4.1701227e-05,4.1701227e-05,0.011064183775082864,1.956080619247123
9,fd19B,2mit,-8.806236e-05,8.806236e-05,3.1433518784843524e-09,8.502606999723692
10,unpg,2mit,-0.0001021845,0.0001021845,0.05917185467992267,1.2278848180031545
11,peb,2mit,0.00055460207,0.00055460207,2.7236170476353227e-09,8.56485395615371
12,Hey,2mit,4.8560498e-05,4.8560498e-05,0.00018707097617710222,3.727993587507439
13,Eip74EF,2mit,-0.00018636779,0.00018636779,0.06139583197239459,1.2118611111525075
14,jigr1,2mit,7.16445e-05,7.16445e-05,0.3789896302716306,0.4213726728219557
15,E5,2mit,-0.00012054566,0.00012054566,0.3033520140311479,0.518053117318877
16,E(spl)m5-HLH,2mit,0.000161334,0.000161334,5.794992584854145e-06,5.236947115413757
17,Abd-B,2mit,-0.0010090043,0.0010090043,1.1847743138528602e-12,11.926364369977131
18,h,2mit,0.0014799195,0.0014799195,5.120321026384945e-10,9.290702809411501
19,Sox15,2mit,5.5983088e-05,5.5983088e-05,0.4885199176915034,0.31111772474526933
20,E(spl)mgamma-HLH,2mit,0.0005754485,0.0005754485,2.5902330571225053e-06,5.5866611583632695
21,Lim1,2mit,-0.00038594782,0.00038594782,1.1633964686715968e-16,15.934272258776234
22,Ubx,2mit,0.000115734976,0.000115734976,0.17309646255901706,0.7617118073805094
23,Scr,2mit,0.00023752906,0.00023752906,0.002129818859290369,2.671657331657935
24,slp1,2mit,9.729406e-05,9.729406e-05,2.1364579921265883e-05,4.670305642030954
25,rn,2mit,-0.0008383237,0.0008383237,1.6674521765471749e-12,11.777946613039303
26,repo,2mit,-0.00017668903,0.00017668903,0.0005389267232197521,3.2684702809444626
27,Antp,2mit,-0.00042879005,0.00042879005,0.0015887119802105174,2.7989548295031423
28,h,5-HT1A,-0.010223664,0.010223664,6.3352956864504445e-06,5.19823311053634
29,retn,5-HT1A,0.00015209056,0.00015209056,0.36734151192662867,0.4349299908434684
30,B-H2,5-HT1A,-0.0032426605,0.0032426605,0.0006590690384940336,3.1810690900090886
31,eyg,5-HT1A,-0.0023188451,0.0023188451,0.00066795342729748,3.175253817423898
32,gsb,5-HT1A,0.00094493537,0.00094493537,2.2112984638092145e-05,4.655352635785208
33,opa,5-HT1A,0.004011249,0.004011249,0.0009265898008891929,3.0331124844500676
34,Eip74EF,5-HT1A,0.004043798,0.004043798,4.2646445249843513e-07,6.370117163153363
35,twi,5-HT1A,0.0013385562,0.0013385562,5.467298079592515e-05,4.2622272475291165
36,erm,5-HT1A,0.0,0.0,,-0.0
37,toe,5-HT1A,-0.0023770689,0.0023770689,0.013599594334927875,1.866474046095218
38,aop,5-HT1A,0.014481326,0.014481326,1.9343696238205886e-09,8.713460536329602
39,gcm,5-HT1A,-0.00069781084,0.00069781084,0.09915218826763948,1.0036976965663573
40,B-H1,5-HT1A,0.006634558,0.006634558,5.559216990344519e-10,9.254986374015036
41,fd19B,5-HT1A,0.002529507,0.002529507,1.5342786768076409e-13,12.81409575068185
42,ab,5-HT1A,-0.011599281,0.011599281,0.00018513981336507965,3.732500178408165
43,NK7.1,5-HT1A,0.0029723286,0.0029723286,0.03703210379948833,1.431421614913682
44,dar1,5-HT2A,4.7765907e-06,4.7765907e-06,0.019015380611757195,1.7208949773293596
45,bab2,5-HT2A,0.00010848024,0.00010848024,0.005373297975842394,2.2697590749950813
46,cad,5-HT2A,-9.247347e-07,9.247347e-07,0.00339257496117675,2.4694705475397796
47,nub,5-HT2A,-2.3401828e-05,2.3401828e-05,0.001459093151999014,2.8359169808222866
48,peb,5-HT2A,-4.639834e-06,4.639834e-06,0.21804804435220898,0.6614478041102655
49,ken,5-HT2A,4.1923618e-06,4.1923618e-06,0.2628455624494239,0.5802993506599996
50,fd19B,5-HT2A,-3.6616498e-07,3.6616498e-07,0.07833984481024023,1.1060172931165047
51,klu,5-HT2A,3.0386143e-05,3.0386143e-05,0.010619696527068533,1.9738878936596969
52,CG10654,5-HT2A,4.265035e-07,4.265035e-07,0.21098672827860557,0.6757448623167374
53,rn,5-HT2A,4.9844994e-07,4.9844994e-07,0.8179892446572086,0.08725240661808217
54,luna,5-HT2A,7.36119e-06,7.36119e-06,0.008426961805503407,2.074328974477561
55,H15,5-HT2A,3.0658534e-06,3.0658534e-06,0.17994648611666744,0.744856629561452
56,slp1,5-HT2A,-5.7899692e-06,5.7899692e-06,0.045203664267385715,1.3448263592902818
57,dmrt99B,5-HT2A,-5.7915076e-07,5.7915076e-07,0.6087895400336827,0.2155328180388596
58,so,5-HT2A,0.00015478625,0.00015478625,0.0058280353571004305,2.2344778221479236
59,gsb,5-HT2A,-1.1322232e-05,1.1322232e-05,0.03768672417292934,1.4238116109040668
60,Sox15,5-HT2A,-4.04722e-06,4.04722e-06,0.19617077586773277,0.7073656902522388
61,gl,5-HT2A,-3.3172196e-07,3.3172196e-07,0.2439926794899646,0.612623203599001
62,slp2,7B2,-0.0006651592,0.0006651592,0.007101537614702612,2.148647608283418
63,bi,7B2,-0.0006952558,0.0006952558,6.148345688980131e-07,6.211241722402625
64,H15,7B2,0.0014544107,0.0014544107,9.210602826592112e-11,10.03571194464627
65,mid,7B2,-0.0026138537,0.0026138537,3.781233936402111e-10,9.422366452987719
66,fd19B,7B2,-4.1605443e-05,4.1605443e-05,2.697585653437807e-05,4.569024756756331
67,dar1,825-Oak,7.892486e-05,7.892486e-05,0.001967126987867406,2.7061676032987942
68,cad,825-Oak,2.247366e-06,2.247366e-06,0.0786709192234488,1.1041857753254776
69,RunxA,825-Oak,2.7957445e-05,2.7957445e-05,1.1706784284938788e-06,5.931562384099212
70,peb,825-Oak,-0.00021725378,0.00021725378,5.2297973573245914e-06,5.281515138723688
71,Sp1,825-Oak,5.7499074e-05,5.7499074e-05,0.00018227029213548947,3.7392841103521612
72,odd,825-Oak,-0.00013601483,0.00013601483,5.969997418345622e-10,9.224025856676073
73,sob,825-Oak,0.0001757726,0.0001757726,3.4739256629684657e-06,5.459179479069119
74,luna,825-Oak,0.00011059299,0.00011059299,0.00025649760095403806,3.5909166925299254
