,SB,DT,DB,ASP,TC,LT,VB,PC,GB
Myo81F,0.0,0.0,0.002826455624646693,0.0,0.0,0.003115264797507788,0.0,0.001876172607879925,0.0
lncRNA:CR46123,0.002911208151382824,0.0031905195989061076,0.0011305822498586771,0.0,0.0011947431302270011,0.003115264797507788,0.006134969325153374,0.0031269543464665416,0.0
spok,0.04269771955361475,0.02643573381950775,0.025438100621820236,0.007326007326007326,0.027479091995221028,0.040498442367601244,0.09406952965235174,2.051282051282051,0.013888888888888888
Parp,0.8573508005822417,0.4840474020054695,1.1967213114754098,0.7216117216117216,0.6152927120669056,0.27414330218068533,1.0593047034764826,0.9499687304565353,0.5694444444444444
Alg-2,1.296943231441048,0.759799453053783,1.9508196721311475,1.36996336996337,0.9689366786140979,1.0809968847352025,1.787321063394683,2.1525953721075672,0.875
Tim17b,2.2639495390587094,1.2411121239744758,2.751271905031091,2.967032967032967,1.6810035842293907,1.763239875389408,2.912065439672802,3.3133208255159476,1.2916666666666667
CG41128,1.0291120815138282,0.6918869644484958,1.6139061616732617,1.336996336996337,0.942652329749104,0.9470404984423676,1.6973415132924334,1.8561601000625392,0.6666666666666666
CG41099,0.3294517224648229,0.1836827711941659,0.35952515545505936,0.36996336996337,0.26523297491039427,0.22741433021806853,0.3312883435582822,0.3539712320200125,0.1111111111111111
CG42402,0.003396409509946628,0.007748404740200547,0.0033917467495760316,0.0,0.005973715651135006,0.018691588785046728,0.002044989775051125,0.0050031269543464665,0.09722222222222222
Gfat1,1.0218340611353711,0.4238833181403829,0.847936687394008,1.2307692307692308,0.953405017921147,1.8691588785046729,1.165644171779141,0.5278298936835523,0.7638888888888888
CG40198,0.002911208151382824,0.0009115770282588879,0.0022611644997173543,0.0,0.0023894862604540022,0.024922118380062305,0.00408997955010225,0.0006253908692933083,0.0
CG12581,0.2561863173216885,0.3527803099361896,0.5251554550593556,0.6007326007326007,0.3978494623655914,0.3177570093457944,0.6319018404907976,0.5584740462789243,0.3194444444444444
CR33294,0.0019408054342552159,0.00045578851412944393,0.0,0.0,0.0023894862604540022,0.0,0.006134969325153374,0.0006253908692933083,0.0
Dsk,0.0,0.0,0.0011305822498586771,0.0,0.0,0.0,0.010224948875255624,0.0006253908692933083,0.0
beta-Man,0.20863658418243572,0.1244302643573382,0.252119841718485,0.05860805860805861,0.11230585424133811,0.1557632398753894,0.26789366053169733,0.27267041901188244,0.125
CG14636,0.038816108685104316,0.00045578851412944393,0.0022611644997173543,0.003663003663003663,0.0011947431302270011,0.012461059190031152,0.00408997955010225,0.0012507817385866166,0.0
aux,0.09704027171276079,0.06426618049225159,0.11475409836065574,0.14285714285714285,0.08243727598566308,0.13707165109034267,0.11042944785276074,0.14821763602251406,0.18055555555555555
CG31516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DhpD,0.14410480349344978,0.07566089334548769,0.2018089315997739,0.1978021978021978,0.0908004778972521,0.056074766355140186,0.2065439672801636,0.19637273295809882,0.041666666666666664
CG14641,0.3129548762736536,0.2023701002734731,0.4245336348219333,0.3553113553113553,0.2927120669056153,0.21806853582554517,0.40286298568507156,0.5641025641025641,0.1388888888888889
abs,0.05822416302765648,0.05423883318140383,0.09440361786319955,0.06227106227106227,0.07885304659498207,0.04984423676012461,0.10224948875255624,0.10819262038774234,0.013888888888888888
Gel,0.10868510431829209,0.05013673655423884,0.08366308648954211,0.20512820512820512,2.6081242532855438,0.2118380062305296,0.06952965235173825,0.07879924953095685,0.20833333333333334
CG14642,0.011159631246967491,0.020966271649954422,0.0005652911249293386,0.0,0.03345280764635603,0.003115264797507788,0.0,0.0025015634771732333,0.0
CG34305,0.0024260067928190197,0.004102096627164996,0.0,0.0,0.005973715651135006,0.003115264797507788,0.0,0.0,0.027777777777777776
TwdlU,0.00048520135856380397,0.0009115770282588879,0.0011305822498586771,0.0,0.0011947431302270011,0.0,0.0,0.0,0.0
TwdlF,0.0,0.0,0.0005652911249293386,0.0,0.0,0.0,0.0,0.0,0.0
TwdlV,0.021348859776807377,0.013673655423883319,0.029395138496325607,0.4908424908424908,3.3381123058542412,0.024922118380062305,0.014314928425357873,0.015634771732332707,0.027777777777777776
CG1092,0.0,0.0,0.0,0.0,0.0011947431302270011,0.003115264797507788,0.0,0.0,0.0
cpx,0.001455604075691412,0.0,0.0,0.0,0.005973715651135006,0.0,0.002044989775051125,0.0,0.0
CG9780,0.00048520135856380397,0.00045578851412944393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vps24,0.6889859291606016,0.2935278030993619,0.70944036178632,0.717948717948718,0.43608124253285546,0.5607476635514018,0.5623721881390593,0.9799874921826142,0.4583333333333333
MP1,0.24939349830179525,0.22789425706472197,0.4584511023176936,0.07692307692307693,0.24133811230585425,0.11526479750778816,0.24335378323108384,0.19762351469668543,0.06944444444444445
asRNA:CR46140,0.002911208151382824,0.0013673655423883319,0.005087620124364048,0.0,0.0023894862604540022,0.0,0.0,0.001876172607879925,0.0
Suv3,0.051431344007763224,0.028258887876025523,0.06896551724137931,0.047619047619047616,0.026284348864994027,0.04361370716510903,0.06748466257668712,0.08943089430894309,0.013888888888888888
Syt14,0.001455604075691412,0.0,0.0022611644997173543,0.0,0.0,0.0,0.002044989775051125,0.00375234521575985,0.0
CG9795,0.09558466763706938,0.08067456700091158,0.13397399660825324,0.11355311355311355,0.0884109916367981,0.1308411214953271,0.10020449897750511,0.233270794246404,0.375
CG9776,0.22561863173216884,0.16636280765724704,0.35895986433013,0.2490842490842491,0.1827956989247312,0.24610591900311526,0.3803680981595092,0.3908692933083177,0.1111111111111111
Skp2,0.13294517224648228,0.06608933454876938,0.11701526286037309,0.1575091575091575,0.1015531660692951,0.09345794392523364,0.07157464212678936,0.20200125078173858,0.06944444444444445
CG1103,0.6467734109655507,0.45259799453053784,0.36743923120407007,0.6593406593406593,0.5436081242532855,0.5514018691588785,0.40899795501022496,0.35647279549718575,4.055555555555555
CG1090,0.0009704027171276079,0.0009115770282588879,0.0,0.0,0.0023894862604540022,0.0,0.0,0.0,0.0
