,SB,DT,DB,ASP,TC,LT,VB,PC,GB,PC_S1,SB_M1,ASP_S1,ASP_S2,ASP_S3
CG41099,0.3294517224648229,0.1836827711941659,0.3595251554550593,0.36996336996337,0.2652329749103942,0.2274143302180685,0.3312883435582822,0.3539712320200125,0.1111111111111111,562.5,11.81889997017555,6442.862863360594,1452.6993333945827,55.39786025
CG12581,0.2561863173216885,0.3527803099361896,0.5251554550593556,0.6007326007326007,0.3978494623655914,0.3177570093457944,0.6319018404907976,0.5584740462789243,0.3194444444444444,226.0,12.030304621088147,11179.613104377968,714.2386246249757,86.36516049999999
Gel,0.108685104318292,0.0501367365542388,0.0836630864895421,0.2051282051282051,2.608124253285544,0.2118380062305296,0.0695296523517382,0.0787992495309568,0.2083333333333333,189.5,12.4712087520499,3352.0653278707737,342.7154618308323,46.2913195
Suv3,0.0514313440077632,0.0282588878760255,0.0689655172413793,0.0476190476190476,0.026284348864994,0.043613707165109,0.0674846625766871,0.089430894308943,0.0138888888888888,259.0,8.43835006280643,1506.00452986432,333.7571292297157,22.21758425
Skp2,0.1329451722464822,0.0660893345487693,0.117015262860373,0.1575091575091575,0.1015531660692951,0.0934579439252336,0.0715746421267893,0.2020012507817385,0.0694444444444444,530.0,11.18697975923515,3767.21939562353,672.472392658141,50.42961475
CG14646,0.1513828238719068,0.081130355515041,0.1865460712266817,0.1978021978021978,0.1111111111111111,0.0965732087227414,0.1554192229038855,0.1707317073170731,0.1666666666666666,529.25,9.35474286505488,2540.978972744153,528.9471247282165,82.65342775
CG14647,0.2125181950509461,0.1613491340018231,0.293951384963256,0.2344322344322344,0.1350059737156511,0.146417445482866,0.2924335378323108,0.2764227642276423,0.1805555555555555,659.75,10.52807757263745,2165.6120640541035,355.833012048493,103.49797025
eIF3a,0.6914119359534207,0.4954421148587055,0.9519502543810062,0.706959706959707,0.6356033452807647,0.7881619937694704,1.112474437627812,1.114446529080675,0.625,688.5,12.2745399742769,17110.073845671166,1608.9201776780176,95.95408025
CG31522,0.3076176613294517,0.0742935278030993,0.2713397399660825,0.2454212454212454,0.084826762246117,1.797507788161994,0.0961145194274028,0.456535334584115,0.0416666666666666,202.75,12.040791624998947,3772.284709818464,511.0624075383055,33.35370425
CG9775,0.344007763221737,0.2502278942570647,0.4115319389485585,0.3076923076923077,0.2365591397849462,0.367601246105919,0.3762781186094069,0.4183864915572232,0.7777777777777778,369.75,11.7205868774193,7928.477388471143,1351.6820925666675,152.646544
